type,disease,code,description,exclude,concat
ICD-10,Rheumatoid arthritis,J990,Rheumatoid lung disease M05.1,0,"('ICD-10', 'Rheumatoid arthritis', 'J990', 'Rheumatoid lung disease M05.1', '0'),"
ICD-10,Rheumatoid arthritis,M05,Seropositive rheumatoid arthritis,0,"('ICD-10', 'Rheumatoid arthritis', 'M05', 'Seropositive rheumatoid arthritis', '0'),"
ICD-10,Rheumatoid arthritis,M050,Felty syndrome,0,"('ICD-10', 'Rheumatoid arthritis', 'M050', 'Felty syndrome', '0'),"
ICD-10,Rheumatoid arthritis,M051,Rheumatoid lung disease J99.0,0,"('ICD-10', 'Rheumatoid arthritis', 'M051', 'Rheumatoid lung disease J99.0', '0'),"
ICD-10,Rheumatoid arthritis,M052,Rheumatoid vasculitis,0,"('ICD-10', 'Rheumatoid arthritis', 'M052', 'Rheumatoid vasculitis', '0'),"
ICD-10,Rheumatoid arthritis,M053,Rheumatoid arthritis with involvement of other organs and systems,0,"('ICD-10', 'Rheumatoid arthritis', 'M053', 'Rheumatoid arthritis with involvement of other organs and systems', '0'),"
ICD-10,Rheumatoid arthritis,M058,Other seropositive rheumatoid arthritis,0,"('ICD-10', 'Rheumatoid arthritis', 'M058', 'Other seropositive rheumatoid arthritis', '0'),"
ICD-10,Rheumatoid arthritis,M059,"Seropositive rheumatoid arthritis, unspecified",0,"('ICD-10', 'Rheumatoid arthritis', 'M059', 'Seropositive rheumatoid arthritis, unspecified', '0'),"
ICD-10,Rheumatoid arthritis,M060,Seronegative rheumatoid arthritis,0,"('ICD-10', 'Rheumatoid arthritis', 'M060', 'Seronegative rheumatoid arthritis', '0'),"
ICD-10,Rheumatoid arthritis,M062,Rheumatoid bursitis,0,"('ICD-10', 'Rheumatoid arthritis', 'M062', 'Rheumatoid bursitis', '0'),"
ICD-10,Rheumatoid arthritis,M063,Rheumatoid nodule,0,"('ICD-10', 'Rheumatoid arthritis', 'M063', 'Rheumatoid nodule', '0'),"
ICD-10,Rheumatoid arthritis,M068,Other specified rheumatoid arthritis,0,"('ICD-10', 'Rheumatoid arthritis', 'M068', 'Other specified rheumatoid arthritis', '0'),"
ICD-10,Rheumatoid arthritis,M069,"Rheumatoid arthritis, unspecified",0,"('ICD-10', 'Rheumatoid arthritis', 'M069', 'Rheumatoid arthritis, unspecified', '0'),"
SNOMED CT,Rheumatoid arthritis,7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '7607008', 'Pericarditis co-occurrent with extraarticular rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,21430002,Dilated cardiomyopathy secondary to rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '21430002', 'Dilated cardiomyopathy secondary to rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,28880005,Rheumatoid carditis,0,"('SNOMED CT', 'Rheumatoid arthritis', '28880005', 'Rheumatoid carditis', '0'),"
SNOMED CT,Rheumatoid arthritis,33719002,Subcutaneous rheumatoid nodule,0,"('SNOMED CT', 'Rheumatoid arthritis', '33719002', 'Subcutaneous rheumatoid nodule', '0'),"
SNOMED CT,Rheumatoid arthritis,50782009,Rheumatoid nodule,0,"('SNOMED CT', 'Rheumatoid arthritis', '50782009', 'Rheumatoid nodule', '0'),"
SNOMED CT,Rheumatoid arthritis,52661003,Extra-articular rheumatoid process,0,"('SNOMED CT', 'Rheumatoid arthritis', '52661003', 'Extra-articular rheumatoid process', '0'),"
SNOMED CT,Rheumatoid arthritis,54867000,Rheumatoid fibrosing alveolitis,0,"('SNOMED CT', 'Rheumatoid arthritis', '54867000', 'Rheumatoid fibrosing alveolitis', '0'),"
SNOMED CT,Rheumatoid arthritis,57160007,Felty's syndrome,0,"('SNOMED CT', 'Rheumatoid arthritis', '57160007', 'Felty's syndrome', '0'),"
SNOMED CT,Rheumatoid arthritis,59165007,Rheumatoid scleritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '59165007', 'Rheumatoid scleritis', '0'),"
SNOMED CT,Rheumatoid arthritis,69896004,Rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '69896004', 'Rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,86219005,Uveitis-rheumatoid arthritis syndrome,0,"('SNOMED CT', 'Rheumatoid arthritis', '86219005', 'Uveitis-rheumatoid arthritis syndrome', '0'),"
SNOMED CT,Rheumatoid arthritis,111218008,Rheumatoid arthritis with other visceral or systemic involvement,0,"('SNOMED CT', 'Rheumatoid arthritis', '111218008', 'Rheumatoid arthritis with other visceral or systemic involvement', '0'),"
SNOMED CT,Rheumatoid arthritis,111280008,Rheumatoid pneumoconiosis,0,"('SNOMED CT', 'Rheumatoid arthritis', '111280008', 'Rheumatoid pneumoconiosis', '0'),"
SNOMED CT,Rheumatoid arthritis,155621007,Rheumatoid lung,0,"('SNOMED CT', 'Rheumatoid arthritis', '155621007', 'Rheumatoid lung', '0'),"
SNOMED CT,Rheumatoid arthritis,156471009,Rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '156471009', 'Rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,156472002,Rheumatoid arthritis - multiple joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '156472002', 'Rheumatoid arthritis - multiple joint', '0'),"
SNOMED CT,Rheumatoid arthritis,156473007,Rheumatoid arthritis of shoulder,0,"('SNOMED CT', 'Rheumatoid arthritis', '156473007', 'Rheumatoid arthritis of shoulder', '0'),"
SNOMED CT,Rheumatoid arthritis,156474001,Rheumatoid arthritis of elbow,0,"('SNOMED CT', 'Rheumatoid arthritis', '156474001', 'Rheumatoid arthritis of elbow', '0'),"
SNOMED CT,Rheumatoid arthritis,156475000,Rheumatoid arthritis of wrist,0,"('SNOMED CT', 'Rheumatoid arthritis', '156475000', 'Rheumatoid arthritis of wrist', '0'),"
SNOMED CT,Rheumatoid arthritis,156476004,Rheumatoid arthritis - hand joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '156476004', 'Rheumatoid arthritis - hand joint', '0'),"
SNOMED CT,Rheumatoid arthritis,156477008,Rheumatoid arthritis of hip,0,"('SNOMED CT', 'Rheumatoid arthritis', '156477008', 'Rheumatoid arthritis of hip', '0'),"
SNOMED CT,Rheumatoid arthritis,156478003,Rheumatoid arthritis of knee,0,"('SNOMED CT', 'Rheumatoid arthritis', '156478003', 'Rheumatoid arthritis of knee', '0'),"
SNOMED CT,Rheumatoid arthritis,156479006,Rheumatoid arthritis - ankle/foot,0,"('SNOMED CT', 'Rheumatoid arthritis', '156479006', 'Rheumatoid arthritis - ankle/foot', '0'),"
SNOMED CT,Rheumatoid arthritis,156480009,Rheumatoid arthritis - other joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '156480009', 'Rheumatoid arthritis - other joint', '0'),"
SNOMED CT,Rheumatoid arthritis,156481008,Rheumatoid arthritis NOS,0,"('SNOMED CT', 'Rheumatoid arthritis', '156481008', 'Rheumatoid arthritis NOS', '0'),"
SNOMED CT,Rheumatoid arthritis,193180002,Polyneuropathy in rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '193180002', 'Polyneuropathy in rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,193250002,Myopathy due to rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '193250002', 'Myopathy due to rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,195136004,Rheumatoid myocarditis,0,"('SNOMED CT', 'Rheumatoid arthritis', '195136004', 'Rheumatoid myocarditis', '0'),"
SNOMED CT,Rheumatoid arthritis,195138003,Rheumatoid carditis,0,"('SNOMED CT', 'Rheumatoid arthritis', '195138003', 'Rheumatoid carditis', '0'),"
SNOMED CT,Rheumatoid arthritis,196132006,Rheumatoid lung,0,"('SNOMED CT', 'Rheumatoid arthritis', '196132006', 'Rheumatoid lung', '0'),"
SNOMED CT,Rheumatoid arthritis,201764007,Rheumatoid arthritis of cervical spine,0,"('SNOMED CT', 'Rheumatoid arthritis', '201764007', 'Rheumatoid arthritis of cervical spine', '0'),"
SNOMED CT,Rheumatoid arthritis,201766009,Rheumatoid arthritis of shoulder,0,"('SNOMED CT', 'Rheumatoid arthritis', '201766009', 'Rheumatoid arthritis of shoulder', '0'),"
SNOMED CT,Rheumatoid arthritis,201767000,Rheumatoid arthritis of sternoclavicular joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201767000', 'Rheumatoid arthritis of sternoclavicular joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201768005,Rheumatoid arthritis of acromioclavicular joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201768005', 'Rheumatoid arthritis of acromioclavicular joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201769002,Rheumatoid arthritis of elbow,0,"('SNOMED CT', 'Rheumatoid arthritis', '201769002', 'Rheumatoid arthritis of elbow', '0'),"
SNOMED CT,Rheumatoid arthritis,201770001,Rheumatoid arthritis of distal radioulnar joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201770001', 'Rheumatoid arthritis of distal radioulnar joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201771002,Rheumatoid arthritis of wrist,0,"('SNOMED CT', 'Rheumatoid arthritis', '201771002', 'Rheumatoid arthritis of wrist', '0'),"
SNOMED CT,Rheumatoid arthritis,201772009,Rheumatoid arthritis of metacarpophalangeal joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201772009', 'Rheumatoid arthritis of metacarpophalangeal joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger,0,"('SNOMED CT', 'Rheumatoid arthritis', '201773004', 'Rheumatoid arthritis of proximal interphalangeal joint of finger', '0'),"
SNOMED CT,Rheumatoid arthritis,201774005,Rheumatoid arthritis of distal interphalangeal joint of finger,0,"('SNOMED CT', 'Rheumatoid arthritis', '201774005', 'Rheumatoid arthritis of distal interphalangeal joint of finger', '0'),"
SNOMED CT,Rheumatoid arthritis,201775006,Rheumatoid arthritis of hip,0,"('SNOMED CT', 'Rheumatoid arthritis', '201775006', 'Rheumatoid arthritis of hip', '0'),"
SNOMED CT,Rheumatoid arthritis,201776007,Rheumatoid arthritis of sacroiliac joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201776007', 'Rheumatoid arthritis of sacroiliac joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201777003,Rheumatoid arthritis of knee,0,"('SNOMED CT', 'Rheumatoid arthritis', '201777003', 'Rheumatoid arthritis of knee', '0'),"
SNOMED CT,Rheumatoid arthritis,201778008,Rheumatoid arthritis of tibiofibular joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201778008', 'Rheumatoid arthritis of tibiofibular joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201779000,Rheumatoid arthritis of ankle,0,"('SNOMED CT', 'Rheumatoid arthritis', '201779000', 'Rheumatoid arthritis of ankle', '0'),"
SNOMED CT,Rheumatoid arthritis,201780002,Rheumatoid arthritis of subtalar joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201780002', 'Rheumatoid arthritis of subtalar joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201781003,Rheumatoid arthritis of talonavicular joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201781003', 'Rheumatoid arthritis of talonavicular joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201782005,Rheumatoid arthritis of other tarsal joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201782005', 'Rheumatoid arthritis of other tarsal joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201783000,Rheumatoid arthritis of first metatarsophalangeal joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201783000', 'Rheumatoid arthritis of first metatarsophalangeal joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201784006', 'Rheumatoid arthritis of lesser metatarsophalangeal joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201785007,Rheumatoid arthritis of interphalangeal joint of toe,0,"('SNOMED CT', 'Rheumatoid arthritis', '201785007', 'Rheumatoid arthritis of interphalangeal joint of toe', '0'),"
SNOMED CT,Rheumatoid arthritis,201786008,Rheumatoid vasculitis,0,"('SNOMED CT', 'Rheumatoid arthritis', '201786008', 'Rheumatoid vasculitis', '0'),"
SNOMED CT,Rheumatoid arthritis,201787004,Seronegative rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '201787004', 'Seronegative rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,201788009,Rheumatoid bursitis,0,"('SNOMED CT', 'Rheumatoid arthritis', '201788009', 'Rheumatoid bursitis', '0'),"
SNOMED CT,Rheumatoid arthritis,201789001,Rheumatoid nodule,0,"('SNOMED CT', 'Rheumatoid arthritis', '201789001', 'Rheumatoid nodule', '0'),"
SNOMED CT,Rheumatoid arthritis,201790005,Rheumatoid arthritis - multiple joint,0,"('SNOMED CT', 'Rheumatoid arthritis', '201790005', 'Rheumatoid arthritis - multiple joint', '0'),"
SNOMED CT,Rheumatoid arthritis,201791009,Flare of rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '201791009', 'Flare of rheumatoid arthritis', '0'),"
SNOMED CT,Rheumatoid arthritis,201794001,Rheumatoid lung,0,"('SNOMED CT', 'Rheumatoid arthritis', '201794001', 'Rheumatoid lung', '0'),"
SNOMED CT,Rheumatoid arthritis,201810001,Seropositive errosive rheumatoid arthritis,0,"('SNOMED CT', 'Rheumatoid arthritis', '201810001', 'Seropositive errosive rheumatoid arthritis', '0'),"
