type,disease,code,description,exclude,concat
ICD-10,Psoriatic arthritis,L405,Arthropathic psoriasis M07.0-M07.3 M09.0,0,"('ICD-10', 'Psoriatic arthritis', 'L405', 'Arthropathic psoriasis M07.0-M07.3 M09.0', '0'),"
ICD-10,Psoriatic arthritis,M070,Distal interphalangeal psoriatic arthropathy L40.5,0,"('ICD-10', 'Psoriatic arthritis', 'M070', 'Distal interphalangeal psoriatic arthropathy L40.5', '0'),"
ICD-10,Psoriatic arthritis,M071,Arthritis mutilans L40.5,0,"('ICD-10', 'Psoriatic arthritis', 'M071', 'Arthritis mutilans L40.5', '0'),"
ICD-10,Psoriatic arthritis,M072,Psoriatic spondylitis L40.5,0,"('ICD-10', 'Psoriatic arthritis', 'M072', 'Psoriatic spondylitis L40.5', '0'),"
ICD-10,Psoriatic arthritis,M073,Other psoriatic arthropathies L40.5,0,"('ICD-10', 'Psoriatic arthritis', 'M073', 'Other psoriatic arthropathies L40.5', '0'),"
ICD-10,Psoriatic arthritis,M090,Juvenile arthritis in psoriasis L40.5,0,"('ICD-10', 'Psoriatic arthritis', 'M090', 'Juvenile arthritis in psoriasis L40.5', '0'),"
SNOMED CT,Psoriatic arthritis,19514005,Arthritis mutilans,0,"('SNOMED CT', 'Psoriatic arthritis', '19514005', 'Arthritis mutilans', '0'),"
SNOMED CT,Psoriatic arthritis,33339001,Psoriasis with arthropathy,0,"('SNOMED CT', 'Psoriatic arthritis', '33339001', 'Psoriasis with arthropathy', '0'),"
SNOMED CT,Psoriatic arthritis,156370009,Psoriatic arthritis,0,"('SNOMED CT', 'Psoriatic arthritis', '156370009', 'Psoriatic arthritis', '0'),"
SNOMED CT,Psoriatic arthritis,200956002,Psoriatic arthritis with spine involvement,0,"('SNOMED CT', 'Psoriatic arthritis', '200956002', 'Psoriatic arthritis with spine involvement', '0'),"
SNOMED CT,Psoriatic arthritis,200957006,Psoriatic arthritis with distal interphalangeal joint involvement,0,"('SNOMED CT', 'Psoriatic arthritis', '200957006', 'Psoriatic arthritis with distal interphalangeal joint involvement', '0'),"
SNOMED CT,Psoriatic arthritis,200958001,Psoriatic arthritis - destructive type,0,"('SNOMED CT', 'Psoriatic arthritis', '200958001', 'Psoriatic arthritis - destructive type', '0'),"
SNOMED CT,Psoriatic arthritis,200959009,Psoriatic arthropathy NOS,0,"('SNOMED CT', 'Psoriatic arthritis', '200959009', 'Psoriatic arthropathy NOS', '0'),"
SNOMED CT,Psoriatic arthritis,203733001,[X]Other psoriatic arthropathies,0,"('SNOMED CT', 'Psoriatic arthritis', '203733001', '[X]Other psoriatic arthropathies', '0'),"
SNOMED CT,Psoriatic arthritis,239812005,Psoriatic arthritis with distal interphalangeal joint involvement,0,"('SNOMED CT', 'Psoriatic arthritis', '239812005', 'Psoriatic arthritis with distal interphalangeal joint involvement', '0'),"
SNOMED CT,Psoriatic arthritis,239813000,Psoriatic dactylitis,0,"('SNOMED CT', 'Psoriatic arthritis', '239813000', 'Psoriatic dactylitis', '0'),"
SNOMED CT,Psoriatic arthritis,431621000000107,[X]Other psoriatic arthropathies,0,"('SNOMED CT', 'Psoriatic arthritis', '431621000000107', '[X]Other psoriatic arthropathies', '0'),"
SNOMED CT,Psoriatic arthritis,692631000000108,Psoriatic arthropathy NOS,0,"('SNOMED CT', 'Psoriatic arthritis', '692631000000108', 'Psoriatic arthropathy NOS', '0'),"
SNOMED CT,Psoriatic arthritis,10629311000119107,Psoriatic arthritis mutilans,0,"('SNOMED CT', 'Psoriatic arthritis', '10629311000119107', 'Psoriatic arthritis mutilans', '0'),"
