type,disease,code,description,exclude,concat
ICD-10,Axial spondyloarthritis,M072,Psoriatic spondylitis L40.5,0,"('ICD-10', 'Axial spondyloarthritis', 'M072', 'Psoriatic spondylitis L40.5', '0'),"
ICD-10,Axial spondyloarthritis,M081,Juvenile ankylosing spondylitis,0,"('ICD-10', 'Axial spondyloarthritis', 'M081', 'Juvenile ankylosing spondylitis', '0'),"
ICD-10,Axial spondyloarthritis,M45,Ankylosing spondylitis,0,"('ICD-10', 'Axial spondyloarthritis', 'M45', 'Ankylosing spondylitis', '0'),"
ICD-10,Axial spondyloarthritis,M468,Other specified inflammatory spondylopathies,0,"('ICD-10', 'Axial spondyloarthritis', 'M468', 'Other specified inflammatory spondylopathies', '0'),"
ICD-10,Axial spondyloarthritis,M469,"Inflammatory spondylopathy, unspecified",0,"('ICD-10', 'Axial spondyloarthritis', 'M469', 'Inflammatory spondylopathy, unspecified', '0'),"
SNOMED CT,Axial spondyloarthritis,9631008,Ankylosing spondylitis,0,"('SNOMED CT', 'Axial spondyloarthritis', '9631008', 'Ankylosing spondylitis', '0'),"
SNOMED CT,Axial spondyloarthritis,156619005,Ankylosing spondylitis,0,"('SNOMED CT', 'Axial spondyloarthritis', '156619005', 'Ankylosing spondylitis', '0'),"
SNOMED CT,Axial spondyloarthritis,239805001,Juvenile ankylosing spondylitis,0,"('SNOMED CT', 'Axial spondyloarthritis', '239805001', 'Juvenile ankylosing spondylitis', '0'),"
SNOMED CT,Axial spondyloarthritis,239810002,Ankylosing spondylitis with organ / system involvement,0,"('SNOMED CT', 'Axial spondyloarthritis', '239810002', 'Ankylosing spondylitis with organ / system involvement', '0'),"
SNOMED CT,Axial spondyloarthritis,239811003,Ankylosing spondylitis with multisystem involvement,0,"('SNOMED CT', 'Axial spondyloarthritis', '239811003', 'Ankylosing spondylitis with multisystem involvement', '0'),"
SNOMED CT,Axial spondyloarthritis,713777005,Non-radiographic axial spondyloarthritis,0,"('SNOMED CT', 'Axial spondyloarthritis', '713777005', 'Non-radiographic axial spondyloarthritis', '0'),"
SNOMED CT,Axial spondyloarthritis,723116002,Axial spondyloarthritis,0,"('SNOMED CT', 'Axial spondyloarthritis', '723116002', 'Axial spondyloarthritis', '0'),"
SNOMED CT,Axial spondyloarthritis,786077003,Ankylosing spondylitis co-occurrent with anterior uveitis,0,"('SNOMED CT', 'Axial spondyloarthritis', '786077003', 'Ankylosing spondylitis co-occurrent with anterior uveitis', '0'),"
SNOMED CT,Axial spondyloarthritis,919541000000106,Axial spondyloarthritis,0,"('SNOMED CT', 'Axial spondyloarthritis', '919541000000106', 'Axial spondyloarthritis', '0'),"
SNOMED CT,Axial spondyloarthritis,919551000000109,Axial spondyloarthritis,0,"('SNOMED CT', 'Axial spondyloarthritis', '919551000000109', 'Axial spondyloarthritis ', '0'),"
