type,disease,code,description,exclude,concat
ICD-10,Systemic lupus erythematosus,M32,Systemic lupus erythematosus,0,"('ICD-10', 'Systemic lupus erythematosus', 'M32', 'Systemic lupus erythematosus', '0'),"
ICD-10,Systemic lupus erythematosus,M321,Systemic lupus erythematosus with organ or system involvement,0,"('ICD-10', 'Systemic lupus erythematosus', 'M321', 'Systemic lupus erythematosus with organ or system involvement', '0'),"
ICD-10,Systemic lupus erythematosus,M328,Other forms of systemic lupus erythematosus,0,"('ICD-10', 'Systemic lupus erythematosus', 'M328', 'Other forms of systemic lupus erythematosus', '0'),"
ICD-10,Systemic lupus erythematosus,M329,"Systemic lupus erythematosus, unspecified",0,"('ICD-10', 'Systemic lupus erythematosus', 'M329', 'Systemic lupus erythematosus, unspecified', '0'),"
SNOMED CT,Systemic lupus erythematosus,4676006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '4676006', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,11013005,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '11013005', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,25380002,Pericarditis co-occurrent and due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '25380002', 'Pericarditis co-occurrent and due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,36402006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '36402006', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,36471000,Dilated cardiomyopathy due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '36471000', 'Dilated cardiomyopathy due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,52042003,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '52042003', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,68815009,Systemic lupus erythematosus glomerulonephritis syndrome (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '68815009', 'Systemic lupus erythematosus glomerulonephritis syndrome (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,73286009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '73286009', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,76521009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)",0,"('SNOMED CT', 'Systemic lupus erythematosus', '76521009', 'Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,95332009,Rash of systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '95332009', 'Rash of systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,95644001,Systemic lupus erythematosus encephalitis (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '95644001', 'Systemic lupus erythematosus encephalitis (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,196138005,Lung disease with systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '196138005', 'Lung disease with systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,201436003,Drug-induced systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '201436003', 'Drug-induced systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,230307005,Chorea in systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '230307005', 'Chorea in systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,239889005,Bullous systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '239889005', 'Bullous systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,307755009,Renal tubulo-interstitial disorder in systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '307755009', 'Renal tubulo-interstitial disorder in systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,403486000,Acute systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '403486000', 'Acute systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,403487009,Fulminating systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '403487009', 'Fulminating systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,417303004,Retinal vasculitis due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '417303004', 'Retinal vasculitis due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,704143006,Maternal history of systemic lupus erythematosus (situation),1,"('SNOMED CT', 'Systemic lupus erythematosus', '704143006', 'Maternal history of systemic lupus erythematosus (situation)', '1'),"
SNOMED CT,Systemic lupus erythematosus,724767000,Chorea co-occurrent and due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '724767000', 'Chorea co-occurrent and due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,724781003,Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '724781003', 'Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,732960002,Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '732960002', 'Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,773333003,Autosomal systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '773333003', 'Autosomal systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,1144921004,Disorder of heart due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '1144921004', 'Disorder of heart due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,1144923001,Disorder of immune function due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '1144923001', 'Disorder of immune function due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,1144927000,Disorder of gastrointestinal tract due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '1144927000', 'Disorder of gastrointestinal tract due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,1144942002,Neuropsychiatric disorder due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '1144942002', 'Neuropsychiatric disorder due to systemic lupus erythematosus (disorder)', '0'),"
SNOMED CT,Systemic lupus erythematosus,1144970000,Disorder of joint due to systemic lupus erythematosus (disorder),0,"('SNOMED CT', 'Systemic lupus erythematosus', '1144970000', 'Disorder of joint due to systemic lupus erythematosus (disorder)', '0'),"
