type,disease,code,description,exclude,concat
ICD-10,Sjogren syndrome,M350,Sicca syndrome [Sjogren],0,"('ICD-10', 'Sjogren syndrome', 'M350', 'Sicca syndrome [Sjogren]', '0'),"
SNOMED CT,Sjogren syndrome,44833003,Pseudolymphoma of lung in Sjogren's disease,0,"('SNOMED CT', 'Sjogren syndrome', '44833003', 'Pseudolymphoma of lung in Sjogren's disease', '0'),"
SNOMED CT,Sjogren syndrome,78946008,"Keratoconjunctivitis sicca, in Sjogren's syndrome",0,"('SNOMED CT', 'Sjogren syndrome', '78946008', 'Keratoconjunctivitis sicca, in Sjogren's syndrome', '0'),"
SNOMED CT,Sjogren syndrome,83901003,Sjogren's syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '83901003', 'Sjogren's syndrome', '0'),"
SNOMED CT,Sjogren syndrome,126766000,Lymphoepithelial sialadenitis of Sjogren's syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '126766000', 'Lymphoepithelial sialadenitis of Sjogren's syndrome', '0'),"
SNOMED CT,Sjogren syndrome,193253000,Myopathy due to Sjogren's disease,0,"('SNOMED CT', 'Sjogren syndrome', '193253000', 'Myopathy due to Sjogren's disease', '0'),"
SNOMED CT,Sjogren syndrome,196137000,Lung disease with Sjogren's disease,0,"('SNOMED CT', 'Sjogren syndrome', '196137000', 'Lung disease with Sjogren's disease', '0'),"
SNOMED CT,Sjogren syndrome,239912009,Primary Sjogren's syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '239912009', 'Primary Sjogren's syndrome', '0'),"
SNOMED CT,Sjogren syndrome,239913004,Primary Sjogren's syndrome with organ/system involvement,0,"('SNOMED CT', 'Sjogren syndrome', '239913004', 'Primary Sjogren's syndrome with organ/system involvement', '0'),"
SNOMED CT,Sjogren syndrome,239914005,Primary Sjogren's syndrome with multisystem involvement,0,"('SNOMED CT', 'Sjogren syndrome', '239914005', 'Primary Sjogren's syndrome with multisystem involvement', '0'),"
SNOMED CT,Sjogren syndrome,239915006,Secondary Sjogren's syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '239915006', 'Secondary Sjogren's syndrome', '0'),"
SNOMED CT,Sjogren syndrome,239916007,Secondary Sjogren's syndrome with organ/system involvement,0,"('SNOMED CT', 'Sjogren syndrome', '239916007', 'Secondary Sjogren's syndrome with organ/system involvement', '0'),"
SNOMED CT,Sjogren syndrome,239917003,Secondary Sjogren's syndrome with multisystem involvement,0,"('SNOMED CT', 'Sjogren syndrome', '239917003', 'Secondary Sjogren's syndrome with multisystem involvement', '0'),"
SNOMED CT,Sjogren syndrome,724782005,Demyelination of central nervous system co-occurrent and due to Sjogren disease,0,"('SNOMED CT', 'Sjogren syndrome', '724782005', 'Demyelination of central nervous system co-occurrent and due to Sjogren disease', '0'),"
SNOMED CT,Sjogren syndrome,320681000119102,Tubulointerstitial nephropathy due to Sjogren syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '320681000119102', 'Tubulointerstitial nephropathy due to Sjogren syndrome', '0'),"
SNOMED CT,Sjogren syndrome,905381000000108,Systemic lupus erythematosus/Sjogren's overlap syndrome,0,"('SNOMED CT', 'Sjogren syndrome', '905381000000108', 'Systemic lupus erythematosus/Sjogren's overlap syndrome', '0'),"
