type,disease,code,description,exclude,concat
ICD-10,Systemic sclerosis scleroderma,M34,Systemic sclerosis,0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M34', 'Systemic sclerosis', '0'),"
ICD-10,Systemic sclerosis scleroderma,M340,Progressive systemic sclerosis,0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M340', 'Progressive systemic sclerosis', '0'),"
ICD-10,Systemic sclerosis scleroderma,M341,CR(E)ST syndrome,0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M341', 'CR(E)ST syndrome', '0'),"
ICD-10,Systemic sclerosis scleroderma,M342,Systemic sclerosis induced by drugs and chemicals,0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M342', 'Systemic sclerosis induced by drugs and chemicals', '0'),"
ICD-10,Systemic sclerosis scleroderma,M348,Other forms of systemic sclerosis,0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M348', 'Other forms of systemic sclerosis', '0'),"
ICD-10,Systemic sclerosis scleroderma,M349,"Systemic sclerosis, unspecified",0,"('ICD-10', 'Systemic sclerosis scleroderma', 'M349', 'Systemic sclerosis, unspecified', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,31848007,"Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia syndrome",0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '31848007', 'Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia syndrome', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,35719004,Dilated cardiomyopathy secondary to scleroderma,0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '35719004', 'Dilated cardiomyopathy secondary to scleroderma', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,62382002,"Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome",0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '62382002', 'Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,63115005,Hypothyroidism due to scleroderma,0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '63115005', 'Hypothyroidism due to scleroderma', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,87442008,Pericarditis co-occurrent and due to scleroderma,0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '87442008', 'Pericarditis co-occurrent and due to scleroderma', '0'),"
SNOMED CT,Systemic sclerosis scleroderma,89155008,Systemic sclerosis,0,"('SNOMED CT', 'Systemic sclerosis scleroderma', '89155008', 'Systemic sclerosis', '0'),"
