type,disease,code,description,exclude,concat
ICD-10,Inflammatory myositis,M33,Dermatopolymyositis,0,"('ICD-10', 'Inflammatory myositis', 'M33', 'Dermatopolymyositis', '0'),"
ICD-10,Inflammatory myositis,M330,Juvenile dermatomyositis,0,"('ICD-10', 'Inflammatory myositis', 'M330', 'Juvenile dermatomyositis', '0'),"
ICD-10,Inflammatory myositis,M331,Other dermatomyositis,0,"('ICD-10', 'Inflammatory myositis', 'M331', 'Other dermatomyositis', '0'),"
ICD-10,Inflammatory myositis,M332,Polymyositis,0,"('ICD-10', 'Inflammatory myositis', 'M332', 'Polymyositis', '0'),"
ICD-10,Inflammatory myositis,M339,"Dermatopolymyositis, unspecified",0,"('ICD-10', 'Inflammatory myositis', 'M339', 'Dermatopolymyositis, unspecified', '0'),"
ICD-10,Inflammatory myositis,M360,Dermato(poly)myositis in neoplastic disease C00-D48,0,"('ICD-10', 'Inflammatory myositis', 'M360', 'Dermato(poly)myositis in neoplastic disease C00-D48', '0'),"
SNOMED CT,Inflammatory myositis,26889001,Myositis,0,"('SNOMED CT', 'Inflammatory myositis', '26889001', 'Myositis', '0'),"
SNOMED CT,Inflammatory myositis,31384009,Polymyositis,0,"('SNOMED CT', 'Inflammatory myositis', '31384009', 'Polymyositis', '0'),"
SNOMED CT,Inflammatory myositis,38826005,Dermatomyositis,0,"('SNOMED CT', 'Inflammatory myositis', '38826005', 'Dermatomyositis', '0'),"
SNOMED CT,Inflammatory myositis,46696008,Dilated cardiomyopathy secondary to dermatomyositis,0,"('SNOMED CT', 'Inflammatory myositis', '46696008', 'Dilated cardiomyopathy secondary to dermatomyositis', '0'),"
SNOMED CT,Inflammatory myositis,156456005,Dermatomyositis,0,"('SNOMED CT', 'Inflammatory myositis', '156456005', 'Dermatomyositis', '0'),"
SNOMED CT,Inflammatory myositis,156457001,Polymyositis,0,"('SNOMED CT', 'Inflammatory myositis', '156457001', 'Polymyositis', '0'),"
SNOMED CT,Inflammatory myositis,193246009,Symptomatic inflammatory myopathy associated with another disorder,0,"('SNOMED CT', 'Inflammatory myositis', '193246009', 'Symptomatic inflammatory myopathy associated with another disorder', '0'),"
