type,disease,code,description,exclude,concat
ICD-10,Antiphospholipid syndrome,D68.6,Other thrombophilia,0,"('ICD-10', 'Antiphospholipid syndrome', 'D68.6', 'Other thrombophilia', '0'),"
SNOMED CT,Antiphospholipid syndrome,19267009,Lupus anticoagulant disorder,0,"('SNOMED CT', 'Antiphospholipid syndrome', '19267009', 'Lupus anticoagulant disorder', '0'),"
SNOMED CT,Antiphospholipid syndrome,26843008,Antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '26843008', 'Antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,201450008,Antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '201450008', 'Antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,239892009,Primary antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239892009', 'Primary antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,239893004,Primary antiphospholipid syndrome with organ/system involvement,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239893004', 'Primary antiphospholipid syndrome with organ/system involvement', '0'),"
SNOMED CT,Antiphospholipid syndrome,239894005,Primary antiphospholipid syndrome with multisystem involvement,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239894005', 'Primary antiphospholipid syndrome with multisystem involvement', '0'),"
SNOMED CT,Antiphospholipid syndrome,239895006,Secondary antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239895006', 'Secondary antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,239896007,Secondary antiphospholipid syndrome with organ/system involvement,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239896007', 'Secondary antiphospholipid syndrome with organ/system involvement', '0'),"
SNOMED CT,Antiphospholipid syndrome,239897003,Secondary antiphospholipid syndrome with multisystem involvement,0,"('SNOMED CT', 'Antiphospholipid syndrome', '239897003', 'Secondary antiphospholipid syndrome with multisystem involvement', '0'),"
SNOMED CT,Antiphospholipid syndrome,402865003,Systemic lupus erythematosus-associated antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '402865003', 'Systemic lupus erythematosus-associated antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,441079006,Thrombophilia due to antiphospholipid antibody,0,"('SNOMED CT', 'Antiphospholipid syndrome', '441079006', 'Thrombophilia due to antiphospholipid antibody', '0'),"
SNOMED CT,Antiphospholipid syndrome,609329007,Catastrophic antiphospholipid syndrome,0,"('SNOMED CT', 'Antiphospholipid syndrome', '609329007', 'Catastrophic antiphospholipid syndrome', '0'),"
SNOMED CT,Antiphospholipid syndrome,72161000119100,Antiphospholipid syndrome in pregnancy,0,"('SNOMED CT', 'Antiphospholipid syndrome', '72161000119100', 'Antiphospholipid syndrome in pregnancy', '0'),"
