type,disease,code,description,exclude,concat
ICD-10,Psoriasis,L400,Psoriasis vulgaris,0,"('ICD-10', 'Psoriasis', 'L400', 'Psoriasis vulgaris', '0'),"
ICD-10,Psoriasis,L401,Generalized pustular psoriasis,0,"('ICD-10', 'Psoriasis', 'L401', 'Generalized pustular psoriasis', '0'),"
ICD-10,Psoriasis,L402,Acrodermatitis continua,0,"('ICD-10', 'Psoriasis', 'L402', 'Acrodermatitis continua', '0'),"
ICD-10,Psoriasis,L403,Pustulosis palmaris et plantaris,0,"('ICD-10', 'Psoriasis', 'L403', 'Pustulosis palmaris et plantaris', '0'),"
ICD-10,Psoriasis,L404,Guttate psoriasis,0,"('ICD-10', 'Psoriasis', 'L404', 'Guttate psoriasis', '0'),"
ICD-10,Psoriasis,L408,Other psoriasis,0,"('ICD-10', 'Psoriasis', 'L408', 'Other psoriasis', '0'),"
ICD-10,Psoriasis,L409,"Psoriasis, unspecified",0,"('ICD-10', 'Psoriasis', 'L409', 'Psoriasis, unspecified', '0'),"
ICD-10,Psoriasis,M070,Distal interphalangeal psoriatic arthropathy L40.5,0,"('ICD-10', 'Psoriasis', 'M070', 'Distal interphalangeal psoriatic arthropathy L40.5', '0'),"
ICD-10,Psoriasis,M071,Arthritis mutilans L40.5,0,"('ICD-10', 'Psoriasis', 'M071', 'Arthritis mutilans L40.5', '0'),"
ICD-10,Psoriasis,M072,Psoriatic spondylitis L40.5,0,"('ICD-10', 'Psoriasis', 'M072', 'Psoriatic spondylitis L40.5', '0'),"
ICD-10,Psoriasis,M073,Other psoriatic arthropathies L40.5,0,"('ICD-10', 'Psoriasis', 'M073', 'Other psoriatic arthropathies L40.5', '0'),"
ICD-10,Psoriasis,M090,Juvenile arthritis in psoriasis L40.5,0,"('ICD-10', 'Psoriasis', 'M090', 'Juvenile arthritis in psoriasis L40.5', '0'),"
SNOMED CT,Psoriasis,10057001,Chronic lichenoid pityriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '10057001', 'Chronic lichenoid pityriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,16341002,Parapsoriasis lichenoides (disorder),0,"('SNOMED CT', 'Psoriasis', '16341002', 'Parapsoriasis lichenoides (disorder)', '0'),"
SNOMED CT,Psoriasis,23854007,Small plaque parapsoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '23854007', 'Small plaque parapsoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,25847004,Seborrheic psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '25847004', 'Seborrheic psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,27520001,Pustular psoriasis of palms and soles (disorder),0,"('SNOMED CT', 'Psoriasis', '27520001', 'Pustular psoriasis of palms and soles (disorder)', '0'),"
SNOMED CT,Psoriasis,28840001,"Generalized pustular psoriasis, exanthematous type (disorder)",0,"('SNOMED CT', 'Psoriasis', '28840001', 'Generalized pustular psoriasis, exanthematous type (disorder)', '0'),"
SNOMED CT,Psoriasis,37042000,Guttate psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '37042000', 'Guttate psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,56253000,Parapsoriasis en plaques (disorder),0,"('SNOMED CT', 'Psoriasis', '56253000', 'Parapsoriasis en plaques (disorder)', '0'),"
SNOMED CT,Psoriasis,67081008,Large plaque parapsoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '67081008', 'Large plaque parapsoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,81271001,Localized pustular psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '81271001', 'Localized pustular psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,83839005,Acrodermatitis continua of Hallopeau (disorder),0,"('SNOMED CT', 'Psoriasis', '83839005', 'Acrodermatitis continua of Hallopeau (disorder)', '0'),"
SNOMED CT,Psoriasis,86487001,Acute lichenoid pityriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '86487001', 'Acute lichenoid pityriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,88233000,Parapsoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '88233000', 'Parapsoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,111188005,Psoriasiform napkin eruption (disorder),0,"('SNOMED CT', 'Psoriasis', '111188005', 'Psoriasiform napkin eruption (disorder)', '0'),"
SNOMED CT,Psoriasis,161562002,History of psoriasis (situation),0,"('SNOMED CT', 'Psoriasis', '161562002', 'History of psoriasis (situation)', '0'),"
SNOMED CT,Psoriasis,200965009,Plaque psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '200965009', 'Plaque psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,200969003,Rupioid psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '200969003', 'Rupioid psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,200973000,Pustular psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '200973000', 'Pustular psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,200977004,Erythrodermic psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '200977004', 'Erythrodermic psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,200981004,Parapsoriasis atrophicans (disorder),0,"('SNOMED CT', 'Psoriasis', '200981004', 'Parapsoriasis atrophicans (disorder)', '0'),"
SNOMED CT,Psoriasis,200982006,Parapsoriasis herpetiformis (disorder),0,"('SNOMED CT', 'Psoriasis', '200982006', 'Parapsoriasis herpetiformis (disorder)', '0'),"
SNOMED CT,Psoriasis,200983001,Pityriasis lichenoides (disorder),0,"('SNOMED CT', 'Psoriasis', '200983001', 'Pityriasis lichenoides (disorder)', '0'),"
SNOMED CT,Psoriasis,200984007,Parapsoriasis papulata (disorder),0,"('SNOMED CT', 'Psoriasis', '200984007', 'Parapsoriasis papulata (disorder)', '0'),"
SNOMED CT,Psoriasis,200985008,Parapsoriasis varioliformis (disorder),0,"('SNOMED CT', 'Psoriasis', '200985008', 'Parapsoriasis varioliformis (disorder)', '0'),"
SNOMED CT,Psoriasis,200990006,Retiform parapsoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '200990006', 'Retiform parapsoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238600001,Flexural psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238600001', 'Flexural psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238601002,Unstable psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238601002', 'Unstable psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238602009,Psoriasis with eczema (disorder),0,"('SNOMED CT', 'Psoriasis', '238602009', 'Psoriasis with eczema (disorder)', '0'),"
SNOMED CT,Psoriasis,238603004,Eczematized psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238603004', 'Eczematized psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238608008,Psoriasis of scalp (disorder),0,"('SNOMED CT', 'Psoriasis', '238608008', 'Psoriasis of scalp (disorder)', '0'),"
SNOMED CT,Psoriasis,238609000,Koebner psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238609000', 'Koebner psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238611009,Lapiere type of psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238611009', 'Lapiere type of psoriasis (disorder)', '0'),"
SNOMED CT,Psoriasis,238612002,Generalized pustular psoriasis (disorder),0,"('SNOMED CT', 'Psoriasis', '238612002', 'Generalized pustular psoriasis (disorder)', '0'),"
