type,disease,code,description,exclude,concat
ICD-10,Crohn disease,K50,Crohn disease [regional enteritis],0,"('ICD-10', 'Crohn disease', 'K50', 'Crohn disease [regional enteritis]', '0'),"
ICD-10,Crohn disease,K500,Crohn disease of small intestine,0,"('ICD-10', 'Crohn disease', 'K500', 'Crohn disease of small intestine', '0'),"
ICD-10,Crohn disease,K501,Crohn disease of large intestine,0,"('ICD-10', 'Crohn disease', 'K501', 'Crohn disease of large intestine', '0'),"
ICD-10,Crohn disease,K508,Other Crohn disease,0,"('ICD-10', 'Crohn disease', 'K508', 'Other Crohn disease', '0'),"
ICD-10,Crohn disease,K509,"Crohn disease, unspecified",0,"('ICD-10', 'Crohn disease', 'K509', 'Crohn disease, unspecified', '0'),"
SNOMED CT,Crohn disease,3815005,Crohn's disease of rectum (disorder),0,"('SNOMED CT', 'Crohn disease', '3815005', 'Crohn's disease of rectum (disorder)', '0'),"
SNOMED CT,Crohn disease,7620006,Crohn's disease of large bowel (disorder),0,"('SNOMED CT', 'Crohn disease', '7620006', 'Crohn's disease of large bowel (disorder)', '0'),"
SNOMED CT,Crohn disease,34000006,Crohn's disease (disorder),0,"('SNOMED CT', 'Crohn disease', '34000006', 'Crohn's disease (disorder)', '0'),"
SNOMED CT,Crohn disease,38106008,Crohn's disease of ileum (disorder),0,"('SNOMED CT', 'Crohn disease', '38106008', 'Crohn's disease of ileum (disorder)', '0'),"
SNOMED CT,Crohn disease,50440006,Crohn's disease of colon (disorder),0,"('SNOMED CT', 'Crohn disease', '50440006', 'Crohn's disease of colon (disorder)', '0'),"
SNOMED CT,Crohn disease,56287005,Crohn's disease of duodenum (disorder),0,"('SNOMED CT', 'Crohn disease', '56287005', 'Crohn's disease of duodenum (disorder)', '0'),"
SNOMED CT,Crohn disease,56689002,Crohn's disease of small intestine (disorder),0,"('SNOMED CT', 'Crohn disease', '56689002', 'Crohn's disease of small intestine (disorder)', '0'),"
SNOMED CT,Crohn disease,61424003,Crohn's disease of pylorus (disorder),0,"('SNOMED CT', 'Crohn disease', '61424003', 'Crohn's disease of pylorus (disorder)', '0'),"
SNOMED CT,Crohn disease,70622003,Crohn's disease of pyloric antrum (disorder),0,"('SNOMED CT', 'Crohn disease', '70622003', 'Crohn's disease of pyloric antrum (disorder)', '0'),"
SNOMED CT,Crohn disease,71833008,Crohn's disease of small and large intestines (disorder),0,"('SNOMED CT', 'Crohn disease', '71833008', 'Crohn's disease of small and large intestines (disorder)', '0'),"
SNOMED CT,Crohn disease,71913005,"Granulomatous enteritis, non-Crohn's disease (disorder)",0,"('SNOMED CT', 'Crohn disease', '71913005', 'Granulomatous enteritis, non-Crohn's disease (disorder)', '0'),"
SNOMED CT,Crohn disease,91390005,Crohn's disease of jejunum (disorder),0,"('SNOMED CT', 'Crohn disease', '91390005', 'Crohn's disease of jejunum (disorder)', '0'),"
SNOMED CT,Crohn disease,160386006,Family history: Crohn's disease (situation),0,"('SNOMED CT', 'Crohn disease', '160386006', 'Family history: Crohn's disease (situation)', '0'),"
SNOMED CT,Crohn disease,196578009,Crohn's disease of oral soft tissues (disorder),0,"('SNOMED CT', 'Crohn disease', '196578009', 'Crohn's disease of oral soft tissues (disorder)', '0'),"
SNOMED CT,Crohn disease,196977009,Crohn's disease of terminal ileum (disorder),0,"('SNOMED CT', 'Crohn disease', '196977009', 'Crohn's disease of terminal ileum (disorder)', '0'),"
SNOMED CT,Crohn disease,201805000,Juvenile arthritis in Crohn's disease (disorder),0,"('SNOMED CT', 'Crohn disease', '201805000', 'Juvenile arthritis in Crohn's disease (disorder)', '0'),"
SNOMED CT,Crohn disease,234999001,Crohn's disease of gingivae (disorder),0,"('SNOMED CT', 'Crohn disease', '234999001', 'Crohn's disease of gingivae (disorder)', '0'),"
SNOMED CT,Crohn disease,235607002,Crohn's disease of esophagus (disorder),0,"('SNOMED CT', 'Crohn disease', '235607002', 'Crohn's disease of esophagus (disorder)', '0'),"
SNOMED CT,Crohn disease,235664007,Crohn's disease of stomach (disorder),0,"('SNOMED CT', 'Crohn disease', '235664007', 'Crohn's disease of stomach (disorder)', '0'),"
SNOMED CT,Crohn disease,235745006,Non-Crohn's granulomatous colitis (disorder),0,"('SNOMED CT', 'Crohn disease', '235745006', 'Non-Crohn's granulomatous colitis (disorder)', '0'),"
SNOMED CT,Crohn disease,235796008,Perianal Crohn's disease (disorder),0,"('SNOMED CT', 'Crohn disease', '235796008', 'Perianal Crohn's disease (disorder)', '0'),"
