type,disease,code,description,exclude,concat
ICD-10,Ulcerative colitis,K51,Ulcerative colitis,0,"('ICD-10', 'Ulcerative colitis', 'K51', 'Ulcerative colitis', '0'),"
ICD-10,Ulcerative colitis,K510,Ulcerative (chronic) pancolitis,0,"('ICD-10', 'Ulcerative colitis', 'K510', 'Ulcerative (chronic) pancolitis', '0'),"
ICD-10,Ulcerative colitis,K512,Ulcerative (chronic) proctitis,0,"('ICD-10', 'Ulcerative colitis', 'K512', 'Ulcerative (chronic) proctitis', '0'),"
ICD-10,Ulcerative colitis,K513,Ulcerative (chronic) rectosigmoiditis,0,"('ICD-10', 'Ulcerative colitis', 'K513', 'Ulcerative (chronic) rectosigmoiditis', '0'),"
ICD-10,Ulcerative colitis,K514,Inflammatory polyps,0,"('ICD-10', 'Ulcerative colitis', 'K514', 'Inflammatory polyps', '0'),"
ICD-10,Ulcerative colitis,K515,Left sided colitis,0,"('ICD-10', 'Ulcerative colitis', 'K515', 'Left sided colitis', '0'),"
ICD-10,Ulcerative colitis,K518,Other ulcerative colitis,0,"('ICD-10', 'Ulcerative colitis', 'K518', 'Other ulcerative colitis', '0'),"
ICD-10,Ulcerative colitis,K519,"Ulcerative colitis, unspecified",0,"('ICD-10', 'Ulcerative colitis', 'K519', 'Ulcerative colitis, unspecified', '0'),"
SNOMED CT,Ulcerative colitis,13470001,Chronic ulcerative ileocolitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '13470001', 'Chronic ulcerative ileocolitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,14311001,Severe chronic ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '14311001', 'Severe chronic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,15342002,Chronic ulcerative enterocolitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '15342002', 'Chronic ulcerative enterocolitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,24829000,Eosinophilic ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '24829000', 'Eosinophilic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,52506002,Chronic ulcerative rectosigmoiditis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '52506002', 'Chronic ulcerative rectosigmoiditis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,78324009,Mild chronic ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '78324009', 'Mild chronic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,78712000,Moderate chronic ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '78712000', 'Moderate chronic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,128600008,Acute ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '128600008', 'Acute ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,201727001,Arthropathy in ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '201727001', 'Arthropathy in ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,201807008,Juvenile arthritis in ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '201807008', 'Juvenile arthritis in ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,275129008,Family history: Ulcerative colitis (situation),0,"('SNOMED CT', 'Ulcerative colitis', '275129008', 'Family history: Ulcerative colitis (situation)', '0'),"
SNOMED CT,Ulcerative colitis,275549008,History of ulcerative colitis (situation),0,"('SNOMED CT', 'Ulcerative colitis', '275549008', 'History of ulcerative colitis (situation)', '0'),"
SNOMED CT,Ulcerative colitis,404908004,Toxic megacolon due to ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '404908004', 'Toxic megacolon due to ulcerative colitis (disorder)', '0'),"
SNOMED CT,Ulcerative colitis,410484008,Iritis with ulcerative colitis (disorder),0,"('SNOMED CT', 'Ulcerative colitis', '410484008', 'Iritis with ulcerative colitis (disorder)', '0'),"
