type,disease,code,description,exclude,concat
ICD-10,Coeliac disease,K900,Coeliac disease,0,"('ICD-10', 'Coeliac disease', 'K900', 'Coeliac disease', '0'),"
SNOMED CT,Coeliac disease,23829007,Celiac disease,0,"('SNOMED CT', 'Coeliac disease', '23829007', 'Celiac disease', '0'),"
SNOMED CT,Coeliac disease,61715008,Celiac disease with diffuse intestinal ulceration,0,"('SNOMED CT', 'Coeliac disease', '61715008', 'Celiac disease with diffuse intestinal ulceration', '0'),"
SNOMED CT,Coeliac disease,91867008,Adult form of celiac disease,0,"('SNOMED CT', 'Coeliac disease', '91867008', 'Adult form of celiac disease', '0'),"
SNOMED CT,Coeliac disease,155842007,Coeliac disease,0,"('SNOMED CT', 'Coeliac disease', '155842007', 'Coeliac disease', '0'),"
SNOMED CT,Coeliac disease,197477005,(Coeliac: [disease] or [rickets]) or (Gee-Herter disease),0,"('SNOMED CT', 'Coeliac disease', '197477005', '(Coeliac: [disease] or [rickets]) or (Gee-Herter disease)', '0'),"
SNOMED CT,Coeliac disease,197479008,Acquired celiac disease,0,"('SNOMED CT', 'Coeliac disease', '197479008', 'Acquired celiac disease', '0'),"
SNOMED CT,Coeliac disease,197481005,Celiac disease NOS,0,"('SNOMED CT', 'Coeliac disease', '197481005', 'Celiac disease NOS', '0'),"
SNOMED CT,Coeliac disease,266478000,Coeliac disease,0,"('SNOMED CT', 'Coeliac disease', '266478000', 'Coeliac disease', '0'),"
SNOMED CT,Coeliac disease,396330006,Celiac crisis,0,"('SNOMED CT', 'Coeliac disease', '396330006', 'Celiac crisis', '0'),"
SNOMED CT,Coeliac disease,396331005,Celiac disease,0,"('SNOMED CT', 'Coeliac disease', '396331005', 'Celiac disease', '0'),"
SNOMED CT,Coeliac disease,722386009,Celiac disease with epilepsy and cerebral calcification syndrome,0,"('SNOMED CT', 'Coeliac disease', '722386009', 'Celiac disease with epilepsy and cerebral calcification syndrome', '0'),"
SNOMED CT,Coeliac disease,770593004,Refractory celiac disease,0,"('SNOMED CT', 'Coeliac disease', '770593004', 'Refractory celiac disease', '0'),"
SNOMED CT,Coeliac disease,606731000000100,Celiac disease NOS,0,"('SNOMED CT', 'Coeliac disease', '606731000000100', 'Celiac disease NOS', '0'),"
