type,disease,code,description,exclude,concat
ICD 10,Inflammatory bowel disease,K50,Crohn disease [regional enteritis],0,"('ICD 10', 'Inflammatory bowel disease', 'K50', 'Crohn disease [regional enteritis]', '0'),"
ICD 10,Inflammatory bowel disease,K500,Crohn disease of small intestine,0,"('ICD 10', 'Inflammatory bowel disease', 'K500', 'Crohn disease of small intestine', '0'),"
ICD 10,Inflammatory bowel disease,K501,Crohn disease of large intestine,0,"('ICD 10', 'Inflammatory bowel disease', 'K501', 'Crohn disease of large intestine', '0'),"
ICD 10,Inflammatory bowel disease,K508,Other Crohn disease,0,"('ICD 10', 'Inflammatory bowel disease', 'K508', 'Other Crohn disease', '0'),"
ICD 10,Inflammatory bowel disease,K509,"Crohn disease, unspecified",0,"('ICD 10', 'Inflammatory bowel disease', 'K509', 'Crohn disease, unspecified', '0'),"
ICD 10,Inflammatory bowel disease,K51,Ulcerative colitis,0,"('ICD 10', 'Inflammatory bowel disease', 'K51', 'Ulcerative colitis', '0'),"
ICD 10,Inflammatory bowel disease,K510,Ulcerative (chronic) pancolitis,0,"('ICD 10', 'Inflammatory bowel disease', 'K510', 'Ulcerative (chronic) pancolitis', '0'),"
ICD 10,Inflammatory bowel disease,K512,Ulcerative (chronic) proctitis,0,"('ICD 10', 'Inflammatory bowel disease', 'K512', 'Ulcerative (chronic) proctitis', '0'),"
ICD 10,Inflammatory bowel disease,K513,Ulcerative (chronic) rectosigmoiditis,0,"('ICD 10', 'Inflammatory bowel disease', 'K513', 'Ulcerative (chronic) rectosigmoiditis', '0'),"
ICD 10,Inflammatory bowel disease,K514,Inflammatory polyps,0,"('ICD 10', 'Inflammatory bowel disease', 'K514', 'Inflammatory polyps', '0'),"
ICD 10,Inflammatory bowel disease,K515,Left sided colitis,0,"('ICD 10', 'Inflammatory bowel disease', 'K515', 'Left sided colitis', '0'),"
ICD 10,Inflammatory bowel disease,K518,Other ulcerative colitis,0,"('ICD 10', 'Inflammatory bowel disease', 'K518', 'Other ulcerative colitis', '0'),"
ICD 10,Inflammatory bowel disease,K519,"Ulcerative colitis, unspecified",0,"('ICD 10', 'Inflammatory bowel disease', 'K519', 'Ulcerative colitis, unspecified', '0'),"
SNOMED CT,Inflammatory bowel disease,242004,Noninfectious jejunitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '242004', 'Noninfectious jejunitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,3815005,Crohn's disease of rectum (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '3815005', 'Crohn's disease of rectum (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,7620006,Crohn's disease of large bowel (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '7620006', 'Crohn's disease of large bowel (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,13470001,Chronic ulcerative ileocolitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '13470001', 'Chronic ulcerative ileocolitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,14066009,Noninfectious colitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '14066009', 'Noninfectious colitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,14311001,Severe chronic ulcerative colitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '14311001', 'Severe chronic ulcerative colitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,15342002,Chronic ulcerative enterocolitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '15342002', 'Chronic ulcerative enterocolitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,22207007,Chronic proliferative enteritis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '22207007', 'Chronic proliferative enteritis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,22231002,Allergic enteritis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '22231002', 'Allergic enteritis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,24526004,Inflammatory bowel disease (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '24526004', 'Inflammatory bowel disease (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,25887009,Allergic sigmoiditis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '25887009', 'Allergic sigmoiditis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,26006005,Allergic gastroenteritis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '26006005', 'Allergic gastroenteritis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,27701000,Proctocolitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '27701000', 'Proctocolitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,30304000,Allergic colitis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '30304000', 'Allergic colitis (disorder)', '0'),"
SNOMED CT,Inflammatory bowel disease,30719001,Dietetic enteritis (disorder),0,"('SNOMED CT', 'Inflammatory bowel disease', '30719001', 'Dietetic enteritis (disorder)', '0'),"
