type,disease,code,description,exclude,concat
ICD-10,Addisons disease,E271,Primary adrenocortical insufficiency,0,"('ICD-10', 'Addisons disease', 'E271', 'Primary adrenocortical insufficiency', '0'),"
SNOMED CT,Addisons disease,3498003,Total excision of pituitary gland by transsphenoidal approach,0,"('SNOMED CT', 'Addisons disease', '3498003', 'Total excision of pituitary gland by transsphenoidal approach', '0'),"
SNOMED CT,Addisons disease,11244009,"Polyglandular autoimmune syndrome, type 1",0,"('SNOMED CT', 'Addisons disease', '11244009', 'Polyglandular autoimmune syndrome, type 1', '0'),"
SNOMED CT,Addisons disease,12427005,Congenital primary adrenocortical hypofunction,0,"('SNOMED CT', 'Addisons disease', '12427005', 'Congenital primary adrenocortical hypofunction', '0'),"
SNOMED CT,Addisons disease,14900002,Radiotherapy-induced hypopituitarism,0,"('SNOMED CT', 'Addisons disease', '14900002', 'Radiotherapy-induced hypopituitarism', '0'),"
SNOMED CT,Addisons disease,16685009,Hypocortisolism secondary to another disorder,0,"('SNOMED CT', 'Addisons disease', '16685009', 'Hypocortisolism secondary to another disorder', '0'),"
SNOMED CT,Addisons disease,24867002,Severe adrenal insufficiency,0,"('SNOMED CT', 'Addisons disease', '24867002', 'Severe adrenal insufficiency', '0'),"
SNOMED CT,Addisons disease,32390006,Panhypopituitarism,0,"('SNOMED CT', 'Addisons disease', '32390006', 'Panhypopituitarism', '0'),"
SNOMED CT,Addisons disease,34253008,Myopathy in Addison\'s disease,0,"('SNOMED CT', 'Addisons disease', '34253008', 'Myopathy in Addison\'s disease', '0'),"
SNOMED CT,Addisons disease,36102002,Acute adrenal insufficiency with meningococcal septicemia,0,"('SNOMED CT', 'Addisons disease', '36102002', 'Acute adrenal insufficiency with meningococcal septicemia', '0'),"
SNOMED CT,Addisons disease,37495007,Familial adrenocortical hypoplasia,0,"('SNOMED CT', 'Addisons disease', '37495007', 'Familial adrenocortical hypoplasia', '0'),"
SNOMED CT,Addisons disease,45414006,Glucocorticoid deficiency with achalasia,0,"('SNOMED CT', 'Addisons disease', '45414006', 'Glucocorticoid deficiency with achalasia', '0'),"
SNOMED CT,Addisons disease,65389002,Adrenoleukodystrophy,0,"('SNOMED CT', 'Addisons disease', '65389002', 'Adrenoleukodystrophy', '0'),"
SNOMED CT,Addisons disease,67749007,Total excision of pituitary gland by transfrontal approach,0,"('SNOMED CT', 'Addisons disease', '67749007', 'Total excision of pituitary gland by transfrontal approach', '0'),"
SNOMED CT,Addisons disease,71974009,Hereditary adrenal unresponsiveness to corticotropin,0,"('SNOMED CT', 'Addisons disease', '71974009', 'Hereditary adrenal unresponsiveness to corticotropin', '0'),"
SNOMED CT,Addisons disease,76715008,Addison\'s disease due to autoimmunity,0,"('SNOMED CT', 'Addisons disease', '76715008', 'Addison\'s disease due to autoimmunity', '0'),"
SNOMED CT,Addisons disease,80599001,Isolated corticotropin deficiency,0,"('SNOMED CT', 'Addisons disease', '80599001', 'Isolated corticotropin deficiency', '0'),"
SNOMED CT,Addisons disease,83646004,Destructive procedure on pituitary gland,0,"('SNOMED CT', 'Addisons disease', '83646004', 'Destructive procedure on pituitary gland', '0'),"
SNOMED CT,Addisons disease,90182005,Hypophysectomy-induced hypopituitarism,0,"('SNOMED CT', 'Addisons disease', '90182005', 'Hypophysectomy-induced hypopituitarism', '0'),"
SNOMED CT,Addisons disease,93235007,Congenital hypoplasia of adrenal gland,0,"('SNOMED CT', 'Addisons disease', '93235007', 'Congenital hypoplasia of adrenal gland', '0'),"
SNOMED CT,Addisons disease,123760002,Prepuberal panhypopituitarism,0,"('SNOMED CT', 'Addisons disease', '123760002', 'Prepuberal panhypopituitarism', '0'),"
SNOMED CT,Addisons disease,171951009,Cryotherapy to pituitary gland,0,"('SNOMED CT', 'Addisons disease', '171951009', 'Cryotherapy to pituitary gland', '0'),"
SNOMED CT,Addisons disease,186270000,Tuberculous Addison\'s disease,0,"('SNOMED CT', 'Addisons disease', '186270000', 'Tuberculous Addison\'s disease', '0'),"
SNOMED CT,Addisons disease,190470005,Idiopathic panhypopituitarism,0,"('SNOMED CT', 'Addisons disease', '190470005', 'Idiopathic panhypopituitarism', '0'),"
SNOMED CT,Addisons disease,190471009,Post-birth injury panhypopituitarism,0,"('SNOMED CT', 'Addisons disease', '190471009', 'Post-birth injury panhypopituitarism', '0'),"
