type,disease,code,description,exclude,concat
ICD-10,Hashimoto thyroiditis,E063,Autoimmune thyroiditis,0,"('ICD-10', 'Hashimoto thyroiditis', 'E063', 'Autoimmune thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,21983002,Hashimoto thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '21983002', 'Hashimoto thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,27538003,Hyperthyroidism with Hashimoto disease,0,"('SNOMED CT', 'Hashimoto thyroiditis', '27538003', 'Hyperthyroidism with Hashimoto disease', '0'),"
SNOMED CT,Hashimoto thyroiditis,84362007,Fibrous autoimmune thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '84362007', 'Fibrous autoimmune thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,154667002,Chronic thyroiditis (& [Hashimoto\'s disease]),0,"('SNOMED CT', 'Hashimoto thyroiditis', '154667002', 'Chronic thyroiditis (& [Hashimoto\'s disease])', '0'),"
SNOMED CT,Hashimoto thyroiditis,190297000,Thyroiditis: [chronic lymphocytic] or [autoimmune] or [Hashimoto\'s],0,"('SNOMED CT', 'Hashimoto thyroiditis', '190297000', 'Thyroiditis: [chronic lymphocytic] or [autoimmune] or [Hashimoto\'s]', '0'),"
SNOMED CT,Hashimoto thyroiditis,237500008,Hashitoxicosis - transient,0,"('SNOMED CT', 'Hashimoto thyroiditis', '237500008', 'Hashitoxicosis - transient', '0'),"
SNOMED CT,Hashimoto thyroiditis,237520009,Hypothyroidism due to Hashimoto\'s thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '237520009', 'Hypothyroidism due to Hashimoto\'s thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,237534009,Hashimoto\'s thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '237534009', 'Hashimoto\'s thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,267466008,Chronic thyroiditis (& [Hashimoto\'s disease]),0,"('SNOMED CT', 'Hashimoto thyroiditis', '267466008', 'Chronic thyroiditis (& [Hashimoto\'s disease])', '0'),"
SNOMED CT,Hashimoto thyroiditis,361125005,Subacute autoimmune thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '361125005', 'Subacute autoimmune thyroiditis', '0'),"
SNOMED CT,Hashimoto thyroiditis,771271000,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,0,"('SNOMED CT', 'Hashimoto thyroiditis', '771271000', 'Steroid-responsive encephalopathy associated with autoimmune thyroiditis', '0'),"
