type,disease,code,description,exclude,concat
ICD-10,Anca vasculitis,M301,Polyarteritis with lung involvement [Churg-Strauss],0,"('ICD-10', 'Anca vasculitis', 'M301', 'Polyarteritis with lung involvement [Churg-Strauss]', '0'),"
ICD-10,Anca vasculitis,M313,Wegener granulomatosis,0,"('ICD-10', 'Anca vasculitis', 'M313', 'Wegener granulomatosis', '0'),"
ICD-10,Anca vasculitis,M317,Microscopic polyangiitis,0,"('ICD-10', 'Anca vasculitis', 'M317', 'Microscopic polyangiitis', '0'),"
SNOMED CT,Anca vasculitis,23782005,Wegener\'s granulomatosis,0,"('SNOMED CT', 'Anca vasculitis', '23782005', 'Wegener\'s granulomatosis', '0'),"
SNOMED CT,Anca vasculitis,46956008,Systemic vasculitis,0,"('SNOMED CT', 'Anca vasculitis', '46956008', 'Systemic vasculitis', '0'),"
SNOMED CT,Anca vasculitis,60555002,Hypersensitivity angiitis,0,"('SNOMED CT', 'Anca vasculitis', '60555002', 'Hypersensitivity angiitis', '0'),"
SNOMED CT,Anca vasculitis,82275008,Allergic granulomatosis angiitis,0,"('SNOMED CT', 'Anca vasculitis', '82275008', 'Allergic granulomatosis angiitis', '0'),"
SNOMED CT,Anca vasculitis,195353004,Granulomatosis with polyangiitis,0,"('SNOMED CT', 'Anca vasculitis', '195353004', 'Granulomatosis with polyangiitis', '0'),"
SNOMED CT,Anca vasculitis,195362002,Churg-Strauss vasculitis,0,"('SNOMED CT', 'Anca vasculitis', '195362002', 'Churg-Strauss vasculitis', '0'),"
SNOMED CT,Anca vasculitis,232369001,Granulomatosis with polyangiitis of nose,0,"('SNOMED CT', 'Anca vasculitis', '232369001', 'Granulomatosis with polyangiitis of nose', '0'),"
SNOMED CT,Anca vasculitis,232460001,Granulomatosis with polyangiitis of larynx,0,"('SNOMED CT', 'Anca vasculitis', '232460001', 'Granulomatosis with polyangiitis of larynx', '0'),"
SNOMED CT,Anca vasculitis,234019004,Secondary systemic vasculitis,0,"('SNOMED CT', 'Anca vasculitis', '234019004', 'Secondary systemic vasculitis', '0'),"
