type,disease,code,description,exclude,concat
ICD-10,Giant cell arteritis,M315,Giant cell arteritis with polymyalgia rheumatica,0,"('ICD-10', 'Giant cell arteritis', 'M315', 'Giant cell arteritis with polymyalgia rheumatica', '0'),"
ICD-10,Giant cell arteritis,M316,Other giant cell arteritis,0,"('ICD-10', 'Giant cell arteritis', 'M316', 'Other giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,87511001,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '87511001', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,155442004,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '155442004', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,195354005,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '195354005', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,195355006,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '195355006', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,195356007,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '195356007', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,195357003,Giant cell arteritis NOS,0,"('SNOMED CT', 'Giant cell arteritis', '195357003', 'Giant cell arteritis NOS', '0'),"
SNOMED CT,Giant cell arteritis,202835005,Giant cell arteritis with polymyalgia rheumatica,0,"('SNOMED CT', 'Giant cell arteritis', '202835005', 'Giant cell arteritis with polymyalgia rheumatica', '0'),"
SNOMED CT,Giant cell arteritis,203782001,[X]Other giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '203782001', '[X]Other giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,230732009,Cerebral arteritis in giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '230732009', 'Cerebral arteritis in giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,239938009,Giant cell arteritis with polymyalgia rheumatica,0,"('SNOMED CT', 'Giant cell arteritis', '239938009', 'Giant cell arteritis with polymyalgia rheumatica', '0'),"
SNOMED CT,Giant cell arteritis,239939001,Giant cell arteritis without polymyalgia rheumatica,0,"('SNOMED CT', 'Giant cell arteritis', '239939001', 'Giant cell arteritis without polymyalgia rheumatica', '0'),"
SNOMED CT,Giant cell arteritis,400130008,Temporal arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '400130008', 'Temporal arteritis', '0'),"
SNOMED CT,Giant cell arteritis,414341000,Giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '414341000', 'Giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,838363001,Arteritic anterior ischemic optic neuropathy due to giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '838363001', 'Arteritic anterior ischemic optic neuropathy due to giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,478741000000101,[X]Other giant cell arteritis,0,"('SNOMED CT', 'Giant cell arteritis', '478741000000101', '[X]Other giant cell arteritis', '0'),"
SNOMED CT,Giant cell arteritis,642981000000107,Giant cell arteritis NOS,0,"('SNOMED CT', 'Giant cell arteritis', '642981000000107', 'Giant cell arteritis NOS', '0'),"
