type,disease,code,description,exclude,concat
ICD-10,Immune thrombocytopenia,D693,Idiopathic thrombocytopenic purpura,0,"('ICD-10', 'Immune thrombocytopenia', 'D693', 'Idiopathic thrombocytopenic purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,13172003,Chronic idiopathic thrombocytopenic purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '13172003', 'Chronic idiopathic thrombocytopenic purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,19307009,Drug-induced immune thrombocytopenia,0,"('SNOMED CT', 'Immune thrombocytopenia', '19307009', 'Drug-induced immune thrombocytopenia', '0'),"
SNOMED CT,Immune thrombocytopenia,28505005,Acute idiopathic thrombocytopenic purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '28505005', 'Acute idiopathic thrombocytopenic purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,31912009,Autoimmune purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '31912009', 'Autoimmune purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,32273002,Immune thrombocytopenic purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '32273002', 'Immune thrombocytopenic purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,75331009,Evans syndrome,0,"('SNOMED CT', 'Immune thrombocytopenia', '75331009', 'Evans syndrome', '0'),"
SNOMED CT,Immune thrombocytopenia,128092005,Secondary autoimmune thrombocytopenia,0,"('SNOMED CT', 'Immune thrombocytopenia', '128092005', 'Secondary autoimmune thrombocytopenia', '0'),"
SNOMED CT,Immune thrombocytopenia,142969008,Thrombocytopenia (& [auto-immune]),0,"('SNOMED CT', 'Immune thrombocytopenia', '142969008', 'Thrombocytopenia (& [auto-immune])', '0'),"
SNOMED CT,Immune thrombocytopenia,154825008,Thrombocytopenic purpura: [primary] or [idiopathic],0,"('SNOMED CT', 'Immune thrombocytopenia', '154825008', 'Thrombocytopenic purpura: [primary] or [idiopathic]', '0'),"
SNOMED CT,Immune thrombocytopenia,191315003,(Thrombocytopenia: [primary] or [idopathic purpuric] or [idiopathic] or [purpuric]) or (Evan\'s syndrome),0,"('SNOMED CT', 'Immune thrombocytopenia', '191315003', '(Thrombocytopenia: [primary] or [idopathic purpuric] or [idiopathic] or [purpuric]) or (Evan\'s syndrome)', '0'),"
SNOMED CT,Immune thrombocytopenia,191316002,Idiopathic purpura (& thrombocytopenic),0,"('SNOMED CT', 'Immune thrombocytopenia', '191316002', 'Idiopathic purpura (& thrombocytopenic)', '0'),"
SNOMED CT,Immune thrombocytopenia,234490009,Immune thrombocytopenic purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '234490009', 'Immune thrombocytopenic purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,267567001,Thrombocytopenic purpura: [primary] or [idiopathic],0,"('SNOMED CT', 'Immune thrombocytopenia', '267567001', 'Thrombocytopenic purpura: [primary] or [idiopathic]', '0'),"
SNOMED CT,Immune thrombocytopenia,275758003,Autoimmune thrombocytopenia,0,"('SNOMED CT', 'Immune thrombocytopenia', '275758003', 'Autoimmune thrombocytopenia', '0'),"
SNOMED CT,Immune thrombocytopenia,367437009,Autoimmune purpura,0,"('SNOMED CT', 'Immune thrombocytopenia', '367437009', 'Autoimmune purpura', '0'),"
SNOMED CT,Immune thrombocytopenia,1365731000000103,Vaccine-induced prothrombotic immune thrombocytopenia,0,"('SNOMED CT', 'Immune thrombocytopenia', '1365731000000103', 'Vaccine-induced prothrombotic immune thrombocytopenia', '0'),"
