type,disease,code,description,exclude,concat
ICD-10,Autoimmune haemolytic anaemia,D590,Drug-induced autoimmune haemolytic anaemia,0,"('ICD-10', 'Autoimmune haemolytic anaemia', 'D590', 'Drug-induced autoimmune haemolytic anaemia', '0'),"
ICD-10,Autoimmune haemolytic anaemia,D591,Other autoimmune haemolytic anaemias,0,"('ICD-10', 'Autoimmune haemolytic anaemia', 'D591', 'Other autoimmune haemolytic anaemias', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,1468004,Cold autoimmune hemolytic anemia,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '1468004', 'Cold autoimmune hemolytic anemia', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,3978000,Warm autoimmune hemolytic anemia,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '3978000', 'Warm autoimmune hemolytic anemia', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,5603006,Autoimmune hemolytic anemia caused by immunoglobulin G,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '5603006', 'Autoimmune hemolytic anemia caused by immunoglobulin G', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,6398009,Idiopathic chronic cold agglutinin disease,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '6398009', 'Idiopathic chronic cold agglutinin disease', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,11781007,Autoimmune hemolytic anemia caused by complement,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '11781007', 'Autoimmune hemolytic anemia caused by complement', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,18323000,"Drug-induced immune hemolytic anemia, immune complex type",0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '18323000', 'Drug-induced immune hemolytic anemia, immune complex type', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,22098000,Chronic idiopathic autoimmune hemolytic anemia,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '22098000', 'Chronic idiopathic autoimmune hemolytic anemia', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,25121006,Autoimmune hemolytic anemia,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '25121006', 'Autoimmune hemolytic anemia', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,33491002,Autoimmune hemolytic anemia caused by immunoglobulin A plus complement,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '33491002', 'Autoimmune hemolytic anemia caused by immunoglobulin A plus complement', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,35703006,Post-viral paroxysmal cold hemoglobinuria,0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '35703006', 'Post-viral paroxysmal cold hemoglobinuria', '0'),"
SNOMED CT,Autoimmune haemolytic anaemia,38731003,"Drug-induced immune hemolytic anemia, autoantibody type",0,"('SNOMED CT', 'Autoimmune haemolytic anaemia', '38731003', 'Drug-induced immune hemolytic anemia, autoantibody type', '0'),"
