type,disease,code,description,exclude,concat
ICD-10,Multiple sclerosis,G35,Multiple sclerosis,0,"('ICD-10', 'Multiple sclerosis', 'G35', 'Multiple sclerosis', '0'),"
SNOMED CT,Multiple sclerosis,24700007,Multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '24700007', 'Multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,160337009,Family history: Multiple sclerosis (situation),1,"('SNOMED CT', 'Multiple sclerosis', '160337009', 'Family history: Multiple sclerosis (situation)', '1'),"
SNOMED CT,Multiple sclerosis,192926004,Multiple sclerosis of the brainstem (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '192926004', 'Multiple sclerosis of the brainstem (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,192927008,Multiple sclerosis of the spinal cord (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '192927008', 'Multiple sclerosis of the spinal cord (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,192929006,Exacerbation of multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '192929006', 'Exacerbation of multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,230372003,Acute relapsing multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '230372003', 'Acute relapsing multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,425500002,Secondary progressive multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '425500002', 'Secondary progressive multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,426373005,Relapsing remitting multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '426373005', 'Relapsing remitting multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,428700003,Primary progressive multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '428700003', 'Primary progressive multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,438511000,Benign multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '438511000', 'Benign multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,439567002,Malignant multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '439567002', 'Malignant multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,701839009,Multiple sclerosis data web-based application software (physical object),0,"('SNOMED CT', 'Multiple sclerosis', '701839009', 'Multiple sclerosis data web-based application software (physical object)', '0'),"
SNOMED CT,Multiple sclerosis,702885009,Multiple sclerosis clinic (environment),0,"('SNOMED CT', 'Multiple sclerosis', '702885009', 'Multiple sclerosis clinic (environment)', '0'),"
SNOMED CT,Multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '724778008', 'Progressive relapsing multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,733028000,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome (disorder)",0,"('SNOMED CT', 'Multiple sclerosis', '733028000', 'Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,766246000,Marburg acute multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '766246000', 'Marburg acute multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,816984002,Progressive multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '816984002', 'Progressive multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,1186728004,Pediatric multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '1186728004', 'Pediatric multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,1231232007,Intermediate uveitis associated with multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '1231232007', 'Intermediate uveitis associated with multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,1259083006,Disorder of autonomic nervous system due to multiple sclerosis (disorder),0,"('SNOMED CT', 'Multiple sclerosis', '1259083006', 'Disorder of autonomic nervous system due to multiple sclerosis (disorder)', '0'),"
SNOMED CT,Multiple sclerosis,198491000000106,Multiple sclerosis review (regime/therapy),0,"('SNOMED CT', 'Multiple sclerosis', '198491000000106', 'Multiple sclerosis review (regime/therapy)', '0'),"
SNOMED CT,Multiple sclerosis,205631000000104,Multiple sclerosis multidisciplinary review (regime/therapy),0,"('SNOMED CT', 'Multiple sclerosis', '205631000000104', 'Multiple sclerosis multidisciplinary review (regime/therapy)', '0'),"
SNOMED CT,Multiple sclerosis,515931000000104,Multiple sclerosis review declined (situation),0,"('SNOMED CT', 'Multiple sclerosis', '515931000000104', 'Multiple sclerosis review declined (situation)', '0'),"
SNOMED CT,Multiple sclerosis,758981000000100,Multiple sclerosis monitoring administration (record artifact),0,"('SNOMED CT', 'Multiple sclerosis', '758981000000100', 'Multiple sclerosis monitoring administration (record artifact)', '0'),"
SNOMED CT,Multiple sclerosis,759021000000107,Multiple sclerosis monitoring invitation (procedure),0,"('SNOMED CT', 'Multiple sclerosis', '759021000000107', 'Multiple sclerosis monitoring invitation (procedure)', '0'),"
SNOMED CT,Multiple sclerosis,759051000000102,Multiple sclerosis monitoring first letter (procedure),0,"('SNOMED CT', 'Multiple sclerosis', '759051000000102', 'Multiple sclerosis monitoring first letter (procedure)', '0'),"
SNOMED CT,Multiple sclerosis,759091000000105,Multiple sclerosis monitoring second letter (procedure),0,"('SNOMED CT', 'Multiple sclerosis', '759091000000105', 'Multiple sclerosis monitoring second letter (procedure)', '0'),"
SNOMED CT,Multiple sclerosis,759131000000108,Multiple sclerosis monitoring telephone invitation (procedure),0,"('SNOMED CT', 'Multiple sclerosis', '759131000000108', 'Multiple sclerosis monitoring telephone invitation (procedure)', '0'),"
SNOMED CT,Multiple sclerosis,759171000000105,Multiple sclerosis monitoring third letter (procedure),0,"('SNOMED CT', 'Multiple sclerosis', '759171000000105', 'Multiple sclerosis monitoring third letter (procedure)', '0'),"
