type,disease,code,description,exclude,concat
ICD-10,Myasthenia gravis,G700,Myasthenia gravis,0,"('ICD-10', 'Myasthenia gravis', 'G700', 'Myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,31839002,"Myasthenia gravis, adult form",0,"('SNOMED CT', 'Myasthenia gravis', '31839002', 'Myasthenia gravis, adult form', '0'),"
SNOMED CT,Myasthenia gravis,55051001,"Myasthenia gravis, juvenile form",0,"('SNOMED CT', 'Myasthenia gravis', '55051001', 'Myasthenia gravis, juvenile form', '0'),"
SNOMED CT,Myasthenia gravis,80976008,Myasthenic crisis,0,"('SNOMED CT', 'Myasthenia gravis', '80976008', 'Myasthenic crisis', '0'),"
SNOMED CT,Myasthenia gravis,91637004,Myasthenia gravis,0,"('SNOMED CT', 'Myasthenia gravis', '91637004', 'Myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,155092009,Myasthenia gravis,0,"('SNOMED CT', 'Myasthenia gravis', '155092009', 'Myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,193207007,Juvenile or adult myasthenia gravis,0,"('SNOMED CT', 'Myasthenia gravis', '193207007', 'Juvenile or adult myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,193208002,Myasthenia gravis NOS,0,"('SNOMED CT', 'Myasthenia gravis', '193208002', 'Myasthenia gravis NOS', '0'),"
SNOMED CT,Myasthenia gravis,230684008,Ocular myasthenia,0,"('SNOMED CT', 'Myasthenia gravis', '230684008', 'Ocular myasthenia', '0'),"
SNOMED CT,Myasthenia gravis,230685009,Myasthenia gravis associated with thymoma,0,"('SNOMED CT', 'Myasthenia gravis', '230685009', 'Myasthenia gravis associated with thymoma', '0'),"
SNOMED CT,Myasthenia gravis,230686005,Generalized myasthenia,0,"('SNOMED CT', 'Myasthenia gravis', '230686005', 'Generalized myasthenia', '0'),"
SNOMED CT,Myasthenia gravis,230687001,Myopathy in myasthenia gravis,0,"('SNOMED CT', 'Myasthenia gravis', '230687001', 'Myopathy in myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,414927004,Ocular myasthenia with strabismus,0,"('SNOMED CT', 'Myasthenia gravis', '414927004', 'Ocular myasthenia with strabismus', '0'),"
SNOMED CT,Myasthenia gravis,770596007,Rippling muscle disease with myasthenia gravis,0,"('SNOMED CT', 'Myasthenia gravis', '770596007', 'Rippling muscle disease with myasthenia gravis', '0'),"
SNOMED CT,Myasthenia gravis,77461000119109,Myasthenia gravis with exacerbation,0,"('SNOMED CT', 'Myasthenia gravis', '77461000119109', 'Myasthenia gravis with exacerbation', '0'),"
SNOMED CT,Myasthenia gravis,77471000119103,Myasthenia gravis without exacerbation,0,"('SNOMED CT', 'Myasthenia gravis', '77471000119103', 'Myasthenia gravis without exacerbation', '0'),"
SNOMED CT,Myasthenia gravis,639711000000109,Myasthenia gravis NOS,0,"('SNOMED CT', 'Myasthenia gravis', '639711000000109', 'Myasthenia gravis NOS', '0'),"
