type,code,description,exclude,concat
ICD-10,I110,Hypertensive heart disease with (congestive) heart failure,0,"    ('ICD-10', 'I110', 'Hypertensive heart disease with (congestive) heart failure', '0'),"
ICD-10,I130,Hypertensive heart and renal disease with (congestive) heart failure,0,"    ('ICD-10', 'I130', 'Hypertensive heart and renal disease with (congestive) heart failure', '0'),"
ICD-10,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,0,"    ('ICD-10', 'I132', 'Hypertensive heart and renal disease with both (congestive) heart failure and renal failure', '0'),"
ICD-10,I255,Ischaemic cardiomyopathy,0,"    ('ICD-10', 'I255', 'Ischaemic cardiomyopathy', '0'),"
ICD-10,I420,Dilated cardiomyopathy,0,"    ('ICD-10', 'I420', 'Dilated cardiomyopathy', '0'),"
ICD-10,I429,"Cardiomyopathy, unspecified",0,"    ('ICD-10', 'I429', 'Cardiomyopathy, unspecified', '0'),"
ICD-10,I500,Congestive heart failure,0,"    ('ICD-10', 'I500', 'Congestive heart failure', '0'),"
ICD-10,I501,Left ventricular failure,0,"    ('ICD-10', 'I501', 'Left ventricular failure', '0'),"
ICD-10,I509,"Heart failure, unspecified",0,"    ('ICD-10', 'I509', 'Heart failure, unspecified', '0'),"
SNOMED CT,364006,Acute left-sided heart failure (disorder),0,"    ('SNOMED CT', '364006', 'Acute left-sided heart failure (disorder)', '0'),"
SNOMED CT,5053004,Cardiac insufficiency due to prosthesis (disorder),0,"    ('SNOMED CT', '5053004', 'Cardiac insufficiency due to prosthesis (disorder)', '0'),"
SNOMED CT,5148006,Hypertensive heart disease with congestive heart failure (disorder),0,"    ('SNOMED CT', '5148006', 'Hypertensive heart disease with congestive heart failure (disorder)', '0'),"
SNOMED CT,5375005,Chronic left-sided congestive heart failure (disorder),0,"    ('SNOMED CT', '5375005', 'Chronic left-sided congestive heart failure (disorder)', '0'),"
SNOMED CT,10091002,High output heart failure (disorder),0,"    ('SNOMED CT', '10091002', 'High output heart failure (disorder)', '0'),"
SNOMED CT,10335000,Chronic right-sided heart failure (disorder),0,"    ('SNOMED CT', '10335000', 'Chronic right-sided heart failure (disorder)', '0'),"
SNOMED CT,10633002,Acute congestive heart failure (disorder),0,"    ('SNOMED CT', '10633002', 'Acute congestive heart failure (disorder)', '0'),"
SNOMED CT,13839000,Bernheim\'s syndrome (disorder),0,"    ('SNOMED CT', '13839000', 'Bernheim\'s syndrome (disorder)', '0'),"
SNOMED CT,16253001,Dilated peripartum cardiomyopathy (disorder),0,"    ('SNOMED CT', '16253001', 'Dilated peripartum cardiomyopathy (disorder)', '0'),"
SNOMED CT,16253001,Dilated peripartum cardiomyopathy (disorder),0,"    ('SNOMED CT', '16253001', 'Dilated peripartum cardiomyopathy (disorder)', '0'),"
SNOMED CT,20529002,Secondary dilated cardiomyopathy (disorder),0,"    ('SNOMED CT', '20529002', 'Secondary dilated cardiomyopathy (disorder)', '0'),"
SNOMED CT,24841007,Cardiorespiratory failure during AND/OR resulting from a procedure (disorder),0,"    ('SNOMED CT', '24841007', 'Cardiorespiratory failure during AND/OR resulting from a procedure (disorder)', '0'),"
