type,code,description,exclude,concat
ICD-10,E851,Invasive ventilation,0,"    ('ICD-10', 'E851', 'Invasive ventilation', '0'),"
ICD-10,E852,Non-invasive ventilation NEC,0,"    ('ICD-10', 'E852', 'Non-invasive ventilation NEC', '0'),"
ICD-10,E856,Continuous positive airway pressure,0,"    ('ICD-10', 'E856', 'Continuous positive airway pressure', '0'),"
ICD-10,U071,"COVID-19, virus identified",0,"    ('ICD-10', 'U071', 'COVID-19, virus identified', '0'),"
ICD-10,U072,"COVID-19, virus not identified",0,"    ('ICD-10', 'U072', 'COVID-19, virus not identified', '0'),"
ICD-10,U08,Personal history of COVID-19,0,"    ('ICD-10', 'U08', 'Personal history of COVID-19', '0'),"
ICD-10,U089,"Personal history of COVID-19, unspecified",0,"    ('ICD-10', 'U089', 'Personal history of COVID-19, unspecified', '0'),"
ICD-10,U09,Post COVID-19 condition,0,"    ('ICD-10', 'U09', 'Post COVID-19 condition', '0'),"
ICD-10,U099,"Post COVID-19 condition, unspecified",0,"    ('ICD-10', 'U099', 'Post COVID-19 condition, unspecified', '0'),"
ICD-10,U10,Multisystem inflammatory syndrome associated with COVID-19,0,"    ('ICD-10', 'U10', 'Multisystem inflammatory syndrome associated with COVID-19', '0'),"
ICD-10,U109,"Multisystem inflammatory syndrome associated with COVID-19, unspecified",0,"    ('ICD-10', 'U109', 'Multisystem inflammatory syndrome associated with COVID-19, unspecified', '0'),"
ICD-10,X56,Intubation of trachea,0,"    ('ICD-10', 'X56', 'Intubation of trachea', '0'),"
ICD-10,X581,Extracorporeal membrane oxygenation,0,"    ('ICD-10', 'X581', 'Extracorporeal membrane oxygenation', '0'),"
SNOMED CT,120814005,Coronavirus antibody (substance),0,"    ('SNOMED CT', '120814005', 'Coronavirus antibody (substance)', '0'),"
SNOMED CT,186747009,Coronavirus infection (disorder),0,"    ('SNOMED CT', '186747009', 'Coronavirus infection (disorder)', '0'),"
SNOMED CT,1008541000000105,Coronavirus ribonucleic acid detection assay (observable entity),0,"    ('SNOMED CT', '1008541000000105', 'Coronavirus ribonucleic acid detection assay (observable entity)', '0'),"
SNOMED CT,1029481000000103,Coronavirus nucleic acid detection assay (observable entity),0,"    ('SNOMED CT', '1029481000000103', 'Coronavirus nucleic acid detection assay (observable entity)', '0'),"
SNOMED CT,1240381000000105,Severe acute respiratory syndrome coronavirus 2 (organism),0,"    ('SNOMED CT', '1240381000000105', 'Severe acute respiratory syndrome coronavirus 2 (organism)', '0'),"
SNOMED CT,1240391000000107,Antigen of severe acute respiratory syndrome coronavirus 2 (substance),0,"    ('SNOMED CT', '1240391000000107', 'Antigen of severe acute respiratory syndrome coronavirus 2 (substance)', '0'),"
SNOMED CT,1240401000000105,Antibody to severe acute respiratory syndrome coronavirus 2 (substance),0,"    ('SNOMED CT', '1240401000000105', 'Antibody to severe acute respiratory syndrome coronavirus 2 (substance)', '0'),"
SNOMED CT,1240411000000107,Ribonucleic acid of severe acute respiratory syndrome coronavirus 2 (substance),0,"    ('SNOMED CT', '1240411000000107', 'Ribonucleic acid of severe acute respiratory syndrome coronavirus 2 (substance)', '0'),"
SNOMED CT,1240421000000101,Serotype severe acute respiratory syndrome coronavirus 2 (qualifier value),0,"    ('SNOMED CT', '1240421000000101', 'Serotype severe acute respiratory syndrome coronavirus 2 (qualifier value)', '0'),"
SNOMED CT,1240511000000106,Detection of severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction technique (procedure),0,"    ('SNOMED CT', '1240511000000106', 'Detection of severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction technique (procedure)', '0'),"
SNOMED CT,1240521000000100,Otitis media caused by severe acute respiratory syndrome coronavirus 2 (disorder),0,"    ('SNOMED CT', '1240521000000100', 'Otitis media caused by severe acute respiratory syndrome coronavirus 2 (disorder)', '0'),"
SNOMED CT,1240531000000103,Myocarditis caused by severe acute respiratory syndrome coronavirus 2 (disorder),0,"    ('SNOMED CT', '1240531000000103', 'Myocarditis caused by severe acute respiratory syndrome coronavirus 2 (disorder)', '0'),"
SNOMED CT,1240541000000107,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder),0,"    ('SNOMED CT', '1240541000000107', 'Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder)', '0'),"
