type,code,description,exclude,concat
ICD-10,E10,Insulin-dependent diabetes mellitus,0,"    ('ICD-10', 'E10', 'Insulin-dependent diabetes mellitus', '0'),"
ICD-10,E11,Non-insulin-dependent diabetes mellitus,0,"    ('ICD-10', 'E11', 'Non-insulin-dependent diabetes mellitus', '0'),"
ICD-10,E12,Malnutrition-related diabetes mellitus,0,"    ('ICD-10', 'E12', 'Malnutrition-related diabetes mellitus', '0'),"
ICD-10,E13,Other specified diabetes mellitus,0,"    ('ICD-10', 'E13', 'Other specified diabetes mellitus', '0'),"
ICD-10,E14,Unspecified diabetes mellitus,0,"    ('ICD-10', 'E14', 'Unspecified diabetes mellitus', '0'),"
ICD-10,G590,Diabetic mononeuropathy,0,"    ('ICD-10', 'G590', 'Diabetic mononeuropathy', '0'),"
ICD-10,G632,Diabetic polyneuropathy,0,"    ('ICD-10', 'G632', 'Diabetic polyneuropathy', '0'),"
ICD-10,H280,Diabetic cataract,0,"    ('ICD-10', 'H280', 'Diabetic cataract', '0'),"
ICD-10,H360,Diabetic retinopathy,0,"    ('ICD-10', 'H360', 'Diabetic retinopathy', '0'),"
ICD-10,M142,Diabetic arthropathy,0,"    ('ICD-10', 'M142', 'Diabetic arthropathy', '0'),"
ICD-10,N083,Glomerular disorders in diabetes mellitus,0,"    ('ICD-10', 'N083', 'Glomerular disorders in diabetes mellitus', '0'),"
ICD-10,O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",0,"    ('ICD-10', 'O240', 'Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent', '0'),"
ICD-10,O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",0,"    ('ICD-10', 'O241', 'Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent', '0'),"
ICD-10,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,0,"    ('ICD-10', 'O242', 'Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus', '0'),"
ICD-10,O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",0,"    ('ICD-10', 'O243', 'Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified', '0'),"
SNOMED CT,1310004,Impaired glucose tolerance associated with genetic syndrome (disorder),1,"    ('SNOMED CT', '1310004', 'Impaired glucose tolerance associated with genetic syndrome (disorder)', '1'),"
SNOMED CT,1822007,Impaired glucose tolerance associated with pancreatic disease (disorder),0,"    ('SNOMED CT', '1822007', 'Impaired glucose tolerance associated with pancreatic disease (disorder)', '0'),"
SNOMED CT,2725003,Previous abnormality of glucose tolerance (disorder),1,"    ('SNOMED CT', '2725003', 'Previous abnormality of glucose tolerance (disorder)', '1'),"
SNOMED CT,2751001,Fibrocalculous pancreatic diabetes (disorder),0,"    ('SNOMED CT', '2751001', 'Fibrocalculous pancreatic diabetes (disorder)', '0'),"
SNOMED CT,4307007,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F (disorder)",0,"    ('SNOMED CT', '4307007', 'Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F (disorder)', '0'),"
SNOMED CT,4783006,Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn (disorder),0,"    ('SNOMED CT', '4783006', 'Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn (disorder)', '0'),"
SNOMED CT,4855003,Retinopathy due to diabetes mellitus (disorder),0,"    ('SNOMED CT', '4855003', 'Retinopathy due to diabetes mellitus (disorder)', '0'),"
SNOMED CT,5368009,Drug-induced diabetes mellitus (disorder),0,"    ('SNOMED CT', '5368009', 'Drug-induced diabetes mellitus (disorder)', '0'),"
SNOMED CT,5969009,Diabetes mellitus associated with genetic syndrome (disorder),0,"    ('SNOMED CT', '5969009', 'Diabetes mellitus associated with genetic syndrome (disorder)', '0'),"
SNOMED CT,6143009,Diabetic education (procedure),0,"    ('SNOMED CT', '6143009', 'Diabetic education (procedure)', '0'),"
SNOMED CT,8801005,Secondary diabetes mellitus (disorder),0,"    ('SNOMED CT', '8801005', 'Secondary diabetes mellitus (disorder)', '0'),"
SNOMED CT,9414007,Impaired glucose tolerance (disorder),0,"    ('SNOMED CT', '9414007', 'Impaired glucose tolerance (disorder)', '0'),"
SNOMED CT,9859006,Acanthosis nigricans due to type 2 diabetes mellitus (disorder),0,"    ('SNOMED CT', '9859006', 'Acanthosis nigricans due to type 2 diabetes mellitus (disorder)', '0'),"
SNOMED CT,11530004,Brittle diabetes mellitus (finding),0,"    ('SNOMED CT', '11530004', 'Brittle diabetes mellitus (finding)', '0'),"
SNOMED CT,11687002,Gestational diabetes mellitus (disorder),0,"    ('SNOMED CT', '11687002', 'Gestational diabetes mellitus (disorder)', '0'),"
SNOMED CT,13196008,Secondary diabetes insipidus (disorder),0,"    ('SNOMED CT', '13196008', 'Secondary diabetes insipidus (disorder)', '0'),"
SNOMED CT,14052004,Impaired glucose tolerance in and individual with a heritable form of maturity onset diabetes in the young (disorder),0,"    ('SNOMED CT', '14052004', 'Impaired glucose tolerance in and individual with a heritable form of maturity onset diabetes in the young (disorder)', '0'),"
SNOMED CT,19378003,Pseudotabes due to diabetes mellitus (disorder),0,"    ('SNOMED CT', '19378003', 'Pseudotabes due to diabetes mellitus (disorder)', '0'),"
SNOMED CT,21584002,Syndrome of infant of diabetic mother (disorder),1,"    ('SNOMED CT', '21584002', 'Syndrome of infant of diabetic mother (disorder)', '1'),"
SNOMED CT,22910008,Impaired glucose tolerance in obese (disorder),0,"    ('SNOMED CT', '22910008', 'Impaired glucose tolerance in obese (disorder)', '0'),"
SNOMED CT,23045005,Insulin dependent diabetes mellitus type IA (disorder),0,"    ('SNOMED CT', '23045005', 'Insulin dependent diabetes mellitus type IA (disorder)', '0'),"
SNOMED CT,25093002,Disorder of eye due to diabetes mellitus (disorder),0,"    ('SNOMED CT', '25093002', 'Disorder of eye due to diabetes mellitus (disorder)', '0'),"
SNOMED CT,25412000,Microaneurysm of retinal artery due to diabetes mellitus (disorder),0,"    ('SNOMED CT', '25412000', 'Microaneurysm of retinal artery due to diabetes mellitus (disorder)', '0'),"
SNOMED CT,26254008,Potential abnormality of glucose tolerance (disorder),1,"    ('SNOMED CT', '26254008', 'Potential abnormality of glucose tolerance (disorder)', '1'),"
SNOMED CT,26298008,Ketoacidotic coma due to diabetes mellitus (disorder),0,"    ('SNOMED CT', '26298008', 'Ketoacidotic coma due to diabetes mellitus (disorder)', '0'),"
SNOMED CT,28032008,Insulin dependent diabetes mellitus type IB (disorder),0,"    ('SNOMED CT', '28032008', 'Insulin dependent diabetes mellitus type IB (disorder)', '0'),"
SNOMED CT,32284009,Impaired glucose tolerance in nonobese (disorder),0,"    ('SNOMED CT', '32284009', 'Impaired glucose tolerance in nonobese (disorder)', '0'),"
