type,code,description,exclude,concat
ICD-10,N00,Acute nephritic syndrome,0,"    ('ICD-10', 'N00', 'Acute nephritic syndrome', '0'),"
ICD-10,N000,"Acute nephritic syndrome, minor glomerular abnormality",0,"    ('ICD-10', 'N000', 'Acute nephritic syndrome, minor glomerular abnormality', '0'),"
ICD-10,N001,"Acute nephritic syndrome, focal and segmental glomerular lesions",0,"    ('ICD-10', 'N001', 'Acute nephritic syndrome, focal and segmental glomerular lesions', '0'),"
ICD-10,N002,"Acute nephritic syndrome, diffuse membranous glomerulonephritis",0,"    ('ICD-10', 'N002', 'Acute nephritic syndrome, diffuse membranous glomerulonephritis', '0'),"
ICD-10,N003,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",0,"    ('ICD-10', 'N003', 'Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis', '0'),"
ICD-10,N004,"Acute nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",0,"    ('ICD-10', 'N004', 'Acute nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis', '0'),"
ICD-10,N005,"Acute nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",0,"    ('ICD-10', 'N005', 'Acute nephritic syndrome, diffuse mesangiocapillary glomerulonephritis', '0'),"
ICD-10,N006,"Acute nephritic syndrome, dense deposit disease",0,"    ('ICD-10', 'N006', 'Acute nephritic syndrome, dense deposit disease', '0'),"
ICD-10,N007,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",0,"    ('ICD-10', 'N007', 'Acute nephritic syndrome, diffuse crescentic glomerulonephritis', '0'),"
ICD-10,N008,"Acute nephritic syndrome, other",0,"    ('ICD-10', 'N008', 'Acute nephritic syndrome, other', '0'),"
ICD-10,N009,"Acute nephritic syndrome, unspecified",0,"    ('ICD-10', 'N009', 'Acute nephritic syndrome, unspecified', '0'),"
ICD-10,N01,Rapidly progressive nephritic syndrome,0,"    ('ICD-10', 'N01', 'Rapidly progressive nephritic syndrome', '0'),"
ICD-10,N010,"Rapidly progressive nephritic syndrome, minor glomerular abnormality",0,"    ('ICD-10', 'N010', 'Rapidly progressive nephritic syndrome, minor glomerular abnormality', '0'),"
ICD-10,N011,"Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions",0,"    ('ICD-10', 'N011', 'Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions', '0'),"
ICD-10,N012,"Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis",0,"    ('ICD-10', 'N012', 'Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis', '0'),"
ICD-10,N013,"Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",0,"    ('ICD-10', 'N013', 'Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis', '0'),"
ICD-10,N014,"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",0,"    ('ICD-10', 'N014', 'Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis', '0'),"
ICD-10,N015,"Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",0,"    ('ICD-10', 'N015', 'Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis', '0'),"
ICD-10,N016,"Rapidly progressive nephritic syndrome, dense deposit disease",0,"    ('ICD-10', 'N016', 'Rapidly progressive nephritic syndrome, dense deposit disease', '0'),"
ICD-10,N017,"Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis",0,"    ('ICD-10', 'N017', 'Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis', '0'),"
ICD-10,N018,"Rapidly progressive nephritic syndrome, other",0,"    ('ICD-10', 'N018', 'Rapidly progressive nephritic syndrome, other', '0'),"
ICD-10,N019,"Rapidly progressive nephritic syndrome, unspecified",0,"    ('ICD-10', 'N019', 'Rapidly progressive nephritic syndrome, unspecified', '0'),"
ICD-10,N03,Chronic nephritic syndrome,0,"    ('ICD-10', 'N03', 'Chronic nephritic syndrome', '0'),"
ICD-10,N030,"Chronic nephritic syndrome, minor glomerular abnormality",0,"    ('ICD-10', 'N030', 'Chronic nephritic syndrome, minor glomerular abnormality', '0'),"
ICD-10,N031,"Chronic nephritic syndrome, focal and segmental glomerular lesions",0,"    ('ICD-10', 'N031', 'Chronic nephritic syndrome, focal and segmental glomerular lesions', '0'),"
ICD-10,N032,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis",0,"    ('ICD-10', 'N032', 'Chronic nephritic syndrome, diffuse membranous glomerulonephritis', '0'),"
ICD-10,N033,"Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",0,"    ('ICD-10', 'N033', 'Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis', '0'),"
ICD-10,N034,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",0,"    ('ICD-10', 'N034', 'Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis', '0'),"
ICD-10,N035,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",0,"    ('ICD-10', 'N035', 'Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis', '0'),"
