type,code,description,exclude,
ICD-10,C00,Malignant neoplasm of lip,0,"    ('ICD-10', 'C00', 'Malignant neoplasm of lip', '0'),"
ICD-10,C000,Malignant neoplasm of external upper lip,0,"    ('ICD-10', 'C000', 'Malignant neoplasm of external upper lip', '0'),"
ICD-10,C001,Malignant neoplasm of external lower lip,0,"    ('ICD-10', 'C001', 'Malignant neoplasm of external lower lip', '0'),"
ICD-10,C002,"Malignant neoplasm of external lip, unspecified",0,"    ('ICD-10', 'C002', 'Malignant neoplasm of external lip, unspecified', '0'),"
ICD-10,C003,"Malignant neoplasm of upper lip, inner aspect",0,"    ('ICD-10', 'C003', 'Malignant neoplasm of upper lip, inner aspect', '0'),"
ICD-10,C004,"Malignant neoplasm of lower lip, inner aspect",0,"    ('ICD-10', 'C004', 'Malignant neoplasm of lower lip, inner aspect', '0'),"
ICD-10,C005,"Malignant neoplasm of lip, unspecified, inner aspect",0,"    ('ICD-10', 'C005', 'Malignant neoplasm of lip, unspecified, inner aspect', '0'),"
ICD-10,C006,Malignant neoplasm of commissure of lip,0,"    ('ICD-10', 'C006', 'Malignant neoplasm of commissure of lip', '0'),"
ICD-10,C008,Malignant neoplasm of overlapping lesion of lip,0,"    ('ICD-10', 'C008', 'Malignant neoplasm of overlapping lesion of lip', '0'),"
ICD-10,C009,"Malignant neoplasm of lip, unspecified",0,"    ('ICD-10', 'C009', 'Malignant neoplasm of lip, unspecified', '0'),"
ICD-10,C01,Malignant neoplasm of base of tongue,0,"    ('ICD-10', 'C01', 'Malignant neoplasm of base of tongue', '0'),"
ICD-10,C02,Malignant neoplasm of other and unspecified parts of tongue,0,"    ('ICD-10', 'C02', 'Malignant neoplasm of other and unspecified parts of tongue', '0'),"
ICD-10,C020,Malignant neoplasm of dorsal surface of tongue,0,"    ('ICD-10', 'C020', 'Malignant neoplasm of dorsal surface of tongue', '0'),"
ICD-10,C021,Malignant neoplasm of border of tongue,0,"    ('ICD-10', 'C021', 'Malignant neoplasm of border of tongue', '0'),"
ICD-10,C022,Malignant neoplasm of ventral surface of tongue,0,"    ('ICD-10', 'C022', 'Malignant neoplasm of ventral surface of tongue', '0'),"
ICD-10,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",0,"    ('ICD-10', 'C023', 'Malignant neoplasm of anterior two-thirds of tongue, part unspecified', '0'),"
ICD-10,C024,Malignant neoplasm of lingual tonsil,0,"    ('ICD-10', 'C024', 'Malignant neoplasm of lingual tonsil', '0'),"
ICD-10,C028,Malignant neoplasm of overlapping lesion of tongue,0,"    ('ICD-10', 'C028', 'Malignant neoplasm of overlapping lesion of tongue', '0'),"
ICD-10,C029,"Malignant neoplasm of tongue, unspecified",0,"    ('ICD-10', 'C029', 'Malignant neoplasm of tongue, unspecified', '0'),"
ICD-10,C03,Malignant neoplasm of gum,0,"    ('ICD-10', 'C03', 'Malignant neoplasm of gum', '0'),"
ICD-10,C030,Malignant neoplasm of upper gum,0,"    ('ICD-10', 'C030', 'Malignant neoplasm of upper gum', '0'),"
ICD-10,C031,Malignant neoplasm of lower gum,0,"    ('ICD-10', 'C031', 'Malignant neoplasm of lower gum', '0'),"
ICD-10,C039,"Malignant neoplasm of gum, unspecified",0,"    ('ICD-10', 'C039', 'Malignant neoplasm of gum, unspecified', '0'),"
ICD-10,C04,Malignant neoplasm of floor of mouth,0,"    ('ICD-10', 'C04', 'Malignant neoplasm of floor of mouth', '0'),"
ICD-10,C040,Malignant neoplasm of floor of anterior floor of mouth,0,"    ('ICD-10', 'C040', 'Malignant neoplasm of floor of anterior floor of mouth', '0'),"
ICD-10,C041,Malignant neoplasm of floor of lateral floor of mouth,0,"    ('ICD-10', 'C041', 'Malignant neoplasm of floor of lateral floor of mouth', '0'),"
ICD-10,C048,Malignant neoplasm of floor of overlapping lesion of floor of mouth,0,"    ('ICD-10', 'C048', 'Malignant neoplasm of floor of overlapping lesion of floor of mouth', '0'),"
ICD-10,C049,"Malignant neoplasm of floor of floor of mouth, unspecified",0,"    ('ICD-10', 'C049', 'Malignant neoplasm of floor of floor of mouth, unspecified', '0'),"
ICD-10,C05,Malignant neoplasm of palate,0,"    ('ICD-10', 'C05', 'Malignant neoplasm of palate', '0'),"
ICD-10,C050,Malignant neoplasm of hard palate,0,"    ('ICD-10', 'C050', 'Malignant neoplasm of hard palate', '0'),"
ICD-10,C051,Malignant neoplasm of soft palate,0,"    ('ICD-10', 'C051', 'Malignant neoplasm of soft palate', '0'),"
ICD-10,C052,Malignant neoplasm of uvula,0,"    ('ICD-10', 'C052', 'Malignant neoplasm of uvula', '0'),"
