type,code,description,exclude,concat
ICD-10,A81,Atypical virus infections of central nervous system,0,"    ('ICD-10', 'A81', 'Atypical virus infections of central nervous system', '0'),"
ICD-10,A810,Creutzfeldt-Jakob disease,0,"    ('ICD-10', 'A810', 'Creutzfeldt-Jakob disease', '0'),"
ICD-10,A811,Subacute sclerosing panencephalitis,0,"    ('ICD-10', 'A811', 'Subacute sclerosing panencephalitis', '0'),"
ICD-10,A812,Progressive multifocal leukoencephalopathy,0,"    ('ICD-10', 'A812', 'Progressive multifocal leukoencephalopathy', '0'),"
ICD-10,A818,Other atypical virus infections of central nervous system,0,"    ('ICD-10', 'A818', 'Other atypical virus infections of central nervous system', '0'),"
ICD-10,A819,"Atypical virus infection of central nervous system, unspecified",0,"    ('ICD-10', 'A819', 'Atypical virus infection of central nervous system, unspecified', '0'),"
ICD-10,F00,Dementia in Alzheimer\'s disease,0,"    ('ICD-10', 'F00', 'Dementia in Alzheimer\'s disease', '0'),"
ICD-10,F000,Dementia in Alzheimer disease with early onset,0,"    ('ICD-10', 'F000', 'Dementia in Alzheimer disease with early onset', '0'),"
ICD-10,F001,Dementia in Alzheimer disease with late onset,0,"    ('ICD-10', 'F001', 'Dementia in Alzheimer disease with late onset', '0'),"
ICD-10,F002,"Dementia in Alzheimer disease, atypical or mixed type",0,"    ('ICD-10', 'F002', 'Dementia in Alzheimer disease, atypical or mixed type', '0'),"
ICD-10,F009,"Dementia in Alzheimer disease, unspecified",0,"    ('ICD-10', 'F009', 'Dementia in Alzheimer disease, unspecified', '0'),"
ICD-10,F01,Vascular dementia,0,"    ('ICD-10', 'F01', 'Vascular dementia', '0'),"
ICD-10,F010,Vascular dementia of acute onset,0,"    ('ICD-10', 'F010', 'Vascular dementia of acute onset', '0'),"
ICD-10,F011,Multi-infarct dementia,0,"    ('ICD-10', 'F011', 'Multi-infarct dementia', '0'),"
ICD-10,F012,Subcortical vascular dementia,0,"    ('ICD-10', 'F012', 'Subcortical vascular dementia', '0'),"
ICD-10,F013,Mixed cortical and subcortical vascular dementia,0,"    ('ICD-10', 'F013', 'Mixed cortical and subcortical vascular dementia', '0'),"
ICD-10,F018,Other vascular dementia,0,"    ('ICD-10', 'F018', 'Other vascular dementia', '0'),"
ICD-10,F019,"Vascular dementia, unspecified",0,"    ('ICD-10', 'F019', 'Vascular dementia, unspecified', '0'),"
ICD-10,F02,Dementia in other diseases classified elsewhere,0,"    ('ICD-10', 'F02', 'Dementia in other diseases classified elsewhere', '0'),"
ICD-10,F020,Dementia in Pick disease,0,"    ('ICD-10', 'F020', 'Dementia in Pick disease', '0'),"
ICD-10,F021,Dementia in Creutzfeldt-Jakob disease,0,"    ('ICD-10', 'F021', 'Dementia in Creutzfeldt-Jakob disease', '0'),"
ICD-10,F022,Dementia in Huntington disease,0,"    ('ICD-10', 'F022', 'Dementia in Huntington disease', '0'),"
ICD-10,F023,Dementia in Parkinson disease,0,"    ('ICD-10', 'F023', 'Dementia in Parkinson disease', '0'),"
ICD-10,F024,Dementia in human immunodeficiency virus [HIV] disease,0,"    ('ICD-10', 'F024', 'Dementia in human immunodeficiency virus [HIV] disease', '0'),"
ICD-10,F028,Dementia in other specified diseases classified elsewhere,0,"    ('ICD-10', 'F028', 'Dementia in other specified diseases classified elsewhere', '0'),"
ICD-10,F03,Unspecified dementia,0,"    ('ICD-10', 'F03', 'Unspecified dementia', '0'),"
ICD-10,F051,Delirium superimposed on dementia,0,"    ('ICD-10', 'F051', 'Delirium superimposed on dementia', '0'),"
ICD-10,G10,Huntington disease,0,"    ('ICD-10', 'G10', 'Huntington disease', '0'),"
ICD-10,G20,Parkinson disease,0,"    ('ICD-10', 'G20', 'Parkinson disease', '0'),"
