type,code,description,exclude,concat
ICD-10,F32,Depressive episode,0,"    ('ICD-10', 'F32', 'Depressive episode', '0'),"
ICD-10,F320,Mild depressive episode,0,"    ('ICD-10', 'F320', 'Mild depressive episode', '0'),"
ICD-10,F321,Moderate depressive episode,0,"    ('ICD-10', 'F321', 'Moderate depressive episode', '0'),"
ICD-10,F322,Severe depressive episode without psychotic symptoms,0,"    ('ICD-10', 'F322', 'Severe depressive episode without psychotic symptoms', '0'),"
ICD-10,F323,Severe depressive episode with psychotic symptoms,0,"    ('ICD-10', 'F323', 'Severe depressive episode with psychotic symptoms', '0'),"
ICD-10,F328,Other depressive episodes,0,"    ('ICD-10', 'F328', 'Other depressive episodes', '0'),"
ICD-10,F329,"Depressive episode, unspecified",0,"    ('ICD-10', 'F329', 'Depressive episode, unspecified', '0'),"
ICD-10,F33,Recurrent depressive disorder,0,"    ('ICD-10', 'F33', 'Recurrent depressive disorder', '0'),"
ICD-10,F330,"Recurrent depressive disorder, current episode mild",0,"    ('ICD-10', 'F330', 'Recurrent depressive disorder, current episode mild', '0'),"
ICD-10,F331,"Recurrent depressive disorder, current episode moderate",0,"    ('ICD-10', 'F331', 'Recurrent depressive disorder, current episode moderate', '0'),"
ICD-10,F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms",0,"    ('ICD-10', 'F332', 'Recurrent depressive disorder, current episode severe without psychotic symptoms', '0'),"
ICD-10,F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms",0,"    ('ICD-10', 'F333', 'Recurrent depressive disorder, current episode severe with psychotic symptoms', '0'),"
ICD-10,F334,"Recurrent depressive disorder, currently in remission",0,"    ('ICD-10', 'F334', 'Recurrent depressive disorder, currently in remission', '0'),"
ICD-10,F338,Other recurrent depressive disorders,0,"    ('ICD-10', 'F338', 'Other recurrent depressive disorders', '0'),"
ICD-10,F339,"Recurrent depressive disorder, unspecified",0,"    ('ICD-10', 'F339', 'Recurrent depressive disorder, unspecified', '0'),"
SNOMED CT,832007,Moderate major depression (disorder),0,"    ('SNOMED CT', '832007', 'Moderate major depression (disorder)', '0'),"
SNOMED CT,1196001,"Chronic bipolar II disorder, most recent episode major depressive (disorder)",0,"    ('SNOMED CT', '1196001', 'Chronic bipolar II disorder, most recent episode major depressive (disorder)', '0'),"
SNOMED CT,2618002,Chronic recurrent major depressive disorder (disorder),0,"    ('SNOMED CT', '2618002', 'Chronic recurrent major depressive disorder (disorder)', '0'),"
SNOMED CT,10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression (disorder)",0,"    ('SNOMED CT', '10532003', 'Primary degenerative dementia of the Alzheimer type, presenile onset, with depression (disorder)', '0'),"
SNOMED CT,12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)",0,"    ('SNOMED CT', '12969000', 'Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)', '0'),"
SNOMED CT,14070001,Multi-infarct dementia with depression (disorder),0,"    ('SNOMED CT', '14070001', 'Multi-infarct dementia with depression (disorder)', '0'),"
SNOMED CT,14183003,"Chronic major depressive disorder, single episode (disorder)",0,"    ('SNOMED CT', '14183003', 'Chronic major depressive disorder, single episode (disorder)', '0'),"
SNOMED CT,15193003,"Severe recurrent major depression with psychotic features, mood-incongruent (disorder)",0,"    ('SNOMED CT', '15193003', 'Severe recurrent major depression with psychotic features, mood-incongruent (disorder)', '0'),"
SNOMED CT,15639000,"Moderate major depression, single episode (disorder)",0,"    ('SNOMED CT', '15639000', 'Moderate major depression, single episode (disorder)', '0'),"
SNOMED CT,16295005,"Bipolar II disorder, most recent episode major depressive (disorder)",0,"    ('SNOMED CT', '16295005', 'Bipolar II disorder, most recent episode major depressive (disorder)', '0'),"
SNOMED CT,18818009,Moderate recurrent major depression (disorder),0,"    ('SNOMED CT', '18818009', 'Moderate recurrent major depression (disorder)', '0'),"
SNOMED CT,19300006,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)",0,"    ('SNOMED CT', '19300006', 'Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)', '0'),"
SNOMED CT,19527009,Single episode of major depression in full remission (disorder),0,"    ('SNOMED CT', '19527009', 'Single episode of major depression in full remission (disorder)', '0'),"
SNOMED CT,20250007,"Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)",0,"    ('SNOMED CT', '20250007', 'Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)', '0'),"
SNOMED CT,20960007,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)",0,"    ('SNOMED CT', '20960007', 'Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)', '0'),"
SNOMED CT,21900002,"Bipolar I disorder, most recent episode depressed with catatonic features (disorder)",0,"    ('SNOMED CT', '21900002', 'Bipolar I disorder, most recent episode depressed with catatonic features (disorder)', '0'),"
SNOMED CT,22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)",0,"    ('SNOMED CT', '22407005', 'Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)', '0'),"
SNOMED CT,25922000,"Major depressive disorder, single episode with postpartum onset (disorder)",0,"    ('SNOMED CT', '25922000', 'Major depressive disorder, single episode with postpartum onset (disorder)', '0'),"
SNOMED CT,26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)",0,"    ('SNOMED CT', '26852004', 'Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)', '0'),"
SNOMED CT,28475009,Severe recurrent major depression with psychotic features (disorder),0,"    ('SNOMED CT', '28475009', 'Severe recurrent major depression with psychotic features (disorder)', '0'),"
