type,code,description,exclude,concat
ICD-10,M15,Polyarthrosis,0,"    ('ICD-10', 'M15', 'Polyarthrosis', '0'),"
ICD-10,M150,Primary generalized (osteo)arthrosis,0,"    ('ICD-10', 'M150', 'Primary generalized (osteo)arthrosis', '0'),"
ICD-10,M151,Heberden nodes (with arthropathy),0,"    ('ICD-10', 'M151', 'Heberden nodes (with arthropathy)', '0'),"
ICD-10,M152,Bouchard nodes (with arthropathy),0,"    ('ICD-10', 'M152', 'Bouchard nodes (with arthropathy)', '0'),"
ICD-10,M153,Secondary multiple arthrosis,0,"    ('ICD-10', 'M153', 'Secondary multiple arthrosis', '0'),"
ICD-10,M154,Erosive (osteo)arthrosis,0,"    ('ICD-10', 'M154', 'Erosive (osteo)arthrosis', '0'),"
ICD-10,M158,Other polyarthrosis,0,"    ('ICD-10', 'M158', 'Other polyarthrosis', '0'),"
ICD-10,M159,"Polyarthrosis, unspecified",0,"    ('ICD-10', 'M159', 'Polyarthrosis, unspecified', '0'),"
ICD-10,M16,Coxarthrosis [arthrosis of hip],0,"    ('ICD-10', 'M16', 'Coxarthrosis [arthrosis of hip]', '0'),"
ICD-10,M160,"Primary coxarthrosis, bilateral",0,"    ('ICD-10', 'M160', 'Primary coxarthrosis, bilateral', '0'),"
ICD-10,M161,Other primary coxarthrosis,0,"    ('ICD-10', 'M161', 'Other primary coxarthrosis', '0'),"
ICD-10,M162,"Coxarthrosis resulting from dysplasia, bilateral",0,"    ('ICD-10', 'M162', 'Coxarthrosis resulting from dysplasia, bilateral', '0'),"
ICD-10,M163,Other dysplastic coxarthrosis,0,"    ('ICD-10', 'M163', 'Other dysplastic coxarthrosis', '0'),"
ICD-10,M166,"Other secondary coxarthrosis, bilateral",0,"    ('ICD-10', 'M166', 'Other secondary coxarthrosis, bilateral', '0'),"
ICD-10,M167,Other secondary coxarthrosis,0,"    ('ICD-10', 'M167', 'Other secondary coxarthrosis', '0'),"
ICD-10,M169,"Coxarthrosis, unspecified",0,"    ('ICD-10', 'M169', 'Coxarthrosis, unspecified', '0'),"
ICD-10,M17,Gonarthrosis [arthrosis of knee],0,"    ('ICD-10', 'M17', 'Gonarthrosis [arthrosis of knee]', '0'),"
ICD-10,M170,"Primary gonarthrosis, bilateral",0,"    ('ICD-10', 'M170', 'Primary gonarthrosis, bilateral', '0'),"
ICD-10,M171,Other primary gonarthrosis,0,"    ('ICD-10', 'M171', 'Other primary gonarthrosis', '0'),"
ICD-10,M172,"Post-traumatic gonarthrosis, bilateral",0,"    ('ICD-10', 'M172', 'Post-traumatic gonarthrosis, bilateral', '0'),"
ICD-10,M173,Other post-traumatic gonarthrosis,0,"    ('ICD-10', 'M173', 'Other post-traumatic gonarthrosis', '0'),"
ICD-10,M174,"Other secondary gonarthrosis, bilateral",0,"    ('ICD-10', 'M174', 'Other secondary gonarthrosis, bilateral', '0'),"
ICD-10,M175,Other secondary gonarthrosis,0,"    ('ICD-10', 'M175', 'Other secondary gonarthrosis', '0'),"
ICD-10,M179,"Gonarthrosis, unspecified",0,"    ('ICD-10', 'M179', 'Gonarthrosis, unspecified', '0'),"
ICD-10,M18,Arthrosis of first carpometacarpal joint,0,"    ('ICD-10', 'M18', 'Arthrosis of first carpometacarpal joint', '0'),"
ICD-10,M180,"Primary arthrosis of first carpometacarpal joints, bilateral",0,"    ('ICD-10', 'M180', 'Primary arthrosis of first carpometacarpal joints, bilateral', '0'),"
ICD-10,M181,Other primary arthrosis of first carpometacarpal joint,0,"    ('ICD-10', 'M181', 'Other primary arthrosis of first carpometacarpal joint', '0'),"
ICD-10,M182,"Post-traumatic arthrosis of first carpometacarpal joints, bilateral",0,"    ('ICD-10', 'M182', 'Post-traumatic arthrosis of first carpometacarpal joints, bilateral', '0'),"
ICD-10,M183,Other post-traumatic arthrosis of first carpometacarpal joint,0,"    ('ICD-10', 'M183', 'Other post-traumatic arthrosis of first carpometacarpal joint', '0'),"
