type,code,description,exclude,concat
ICD-10,E00,Congenital iodine-deficiency syndrome,0,"    ('ICD-10', 'E00', 'Congenital iodine-deficiency syndrome', '0'),"
ICD-10,E01,Iodine-deficiency-related thyroid disorders and allied conditions,0,"    ('ICD-10', 'E01', 'Iodine-deficiency-related thyroid disorders and allied conditions', '0'),"
ICD-10,E02,Subclinical iodine-deficiency hypothyroidism,0,"    ('ICD-10', 'E02', 'Subclinical iodine-deficiency hypothyroidism', '0'),"
ICD-10,E03,Other hypothyroidism,0,"    ('ICD-10', 'E03', 'Other hypothyroidism', '0'),"
ICD-10,E04,Other nontoxic goitre,0,"    ('ICD-10', 'E04', 'Other nontoxic goitre', '0'),"
ICD-10,E05,Thyrotoxicosis [hyperthyroidism],0,"    ('ICD-10', 'E05', 'Thyrotoxicosis [hyperthyroidism]', '0'),"
ICD-10,E06,Thyroiditis,0,"    ('ICD-10', 'E06', 'Thyroiditis', '0'),"
ICD-10,E07,Other disorders of thyroid,0,"    ('ICD-10', 'E07', 'Other disorders of thyroid', '0'),"
SNOMED CT,9092004,Parathyroid hyperplasia (disorder),0,"    ('SNOMED CT', '9092004', 'Parathyroid hyperplasia (disorder)', '0'),"
SNOMED CT,11244009,"Polyglandular autoimmune syndrome, type 1 (disorder)",0,"    ('SNOMED CT', '11244009', 'Polyglandular autoimmune syndrome, type 1 (disorder)', '0'),"
SNOMED CT,16195001,Parathyroid hypocalcemic tetany (disorder),0,"    ('SNOMED CT', '16195001', 'Parathyroid hypocalcemic tetany (disorder)', '0'),"
SNOMED CT,19034001,Hyperparathyroidism due to renal insufficiency (disorder),0,"    ('SNOMED CT', '19034001', 'Hyperparathyroidism due to renal insufficiency (disorder)', '0'),"
SNOMED CT,26267006,Isolated persistent neonatal hypoparathyroidism (disorder),0,"    ('SNOMED CT', '26267006', 'Isolated persistent neonatal hypoparathyroidism (disorder)', '0'),"
SNOMED CT,29326002,Ectopic hyperparathyroidism (disorder),0,"    ('SNOMED CT', '29326002', 'Ectopic hyperparathyroidism (disorder)', '0'),"
SNOMED CT,32463001,Primary water-clear cell hyperplasia (disorder),0,"    ('SNOMED CT', '32463001', 'Primary water-clear cell hyperplasia (disorder)', '0'),"
SNOMED CT,36348003,Primary hyperparathyroidism (disorder),0,"    ('SNOMED CT', '36348003', 'Primary hyperparathyroidism (disorder)', '0'),"
SNOMED CT,36976004,Hypoparathyroidism (disorder),0,"    ('SNOMED CT', '36976004', 'Hypoparathyroidism (disorder)', '0'),"
SNOMED CT,42183005,Pseudohypoparathyroidism type II (disorder),0,"    ('SNOMED CT', '42183005', 'Pseudohypoparathyroidism type II (disorder)', '0'),"
SNOMED CT,47445009,Hyperparathyroidism due to vitamin D deficiency (disorder),0,"    ('SNOMED CT', '47445009', 'Hyperparathyroidism due to vitamin D deficiency (disorder)', '0'),"
SNOMED CT,56090007,Pseudohypoparathyroidism type I B (disorder),0,"    ('SNOMED CT', '56090007', 'Pseudohypoparathyroidism type I B (disorder)', '0'),"
SNOMED CT,58833000,Pseudohypoparathyroidism type I A (disorder),0,"    ('SNOMED CT', '58833000', 'Pseudohypoparathyroidism type I A (disorder)', '0'),"
SNOMED CT,58976002,Pseudohypoparathyroidism (disorder),0,"    ('SNOMED CT', '58976002', 'Pseudohypoparathyroidism (disorder)', '0'),"
SNOMED CT,65274008,Congenital anomaly of parathyroid glands (disorder),0,"    ('SNOMED CT', '65274008', 'Congenital anomaly of parathyroid glands (disorder)', '0'),"
SNOMED CT,66999008,Hyperparathyroidism (disorder),0,"    ('SNOMED CT', '66999008', 'Hyperparathyroidism (disorder)', '0'),"
SNOMED CT,73132005,Disorder of parathyroid gland (disorder),0,"    ('SNOMED CT', '73132005', 'Disorder of parathyroid gland (disorder)', '0'),"
SNOMED CT,73291005,Congenital absence of parathyroid gland (disorder),0,"    ('SNOMED CT', '73291005', 'Congenital absence of parathyroid gland (disorder)', '0'),"
SNOMED CT,75316000,Autoimmune hypoparathyroidism (disorder),0,"    ('SNOMED CT', '75316000', 'Autoimmune hypoparathyroidism (disorder)', '0'),"
SNOMED CT,78200003,Tertiary hyperparathyroidism (disorder),0,"    ('SNOMED CT', '78200003', 'Tertiary hyperparathyroidism (disorder)', '0'),"
SNOMED CT,78625002,Hyperparathyroidism due to intestinal malabsorption (disorder),0,"    ('SNOMED CT', '78625002', 'Hyperparathyroidism due to intestinal malabsorption (disorder)', '0'),"
SNOMED CT,82837002,Kenny syndrome (disorder),0,"    ('SNOMED CT', '82837002', 'Kenny syndrome (disorder)', '0'),"
SNOMED CT,88760006,Isolated late onset hypoparathyroidism (disorder),0,"    ('SNOMED CT', '88760006', 'Isolated late onset hypoparathyroidism (disorder)', '0'),"
SNOMED CT,91478007,Secondary hyperparathyroidism (disorder),0,"    ('SNOMED CT', '91478007', 'Secondary hyperparathyroidism (disorder)', '0'),"
SNOMED CT,92272009,Benign neoplasm of parathyroid gland (disorder),0,"    ('SNOMED CT', '92272009', 'Benign neoplasm of parathyroid gland (disorder)', '0'),"
SNOMED CT,92675002,Carcinoma in situ of parathyroid gland (disorder),0,"    ('SNOMED CT', '92675002', 'Carcinoma in situ of parathyroid gland (disorder)', '0'),"
SNOMED CT,93943008,Primary malignant neoplasm of parathyroid gland (disorder),0,"    ('SNOMED CT', '93943008', 'Primary malignant neoplasm of parathyroid gland (disorder)', '0'),"
SNOMED CT,94467003,Metastatic malignant neoplasm to parathyroid gland (disorder),0,"    ('SNOMED CT', '94467003', 'Metastatic malignant neoplasm to parathyroid gland (disorder)', '0'),"
SNOMED CT,94983006,Neoplasm of uncertain behavior of parathyroid gland (disorder),0,"    ('SNOMED CT', '94983006', 'Neoplasm of uncertain behavior of parathyroid gland (disorder)', '0'),"
SNOMED CT,127020005,Neoplasm of parathyroid gland (disorder),0,"    ('SNOMED CT', '127020005', 'Neoplasm of parathyroid gland (disorder)', '0'),"
SNOMED CT,128474007,Parathyroid adenoma (disorder),0,"    ('SNOMED CT', '128474007', 'Parathyroid adenoma (disorder)', '0'),"
