type,code,description,exclude,concat
ICD-10,J45,Asthma,0,"    ('ICD-10', 'J45', 'Asthma', '0'),"
ICD-10,J46,Status asthmaticus,0,"    ('ICD-10', 'J46', 'Status asthmaticus', '0'),"
SNOMED CT,11641008,Millers\' asthma (disorder),0,"    ('SNOMED CT', '11641008', 'Millers\' asthma (disorder)', '0'),"
SNOMED CT,11944003,Feather-pickers\' disease (disorder),0,"    ('SNOMED CT', '11944003', 'Feather-pickers\' disease (disorder)', '0'),"
SNOMED CT,12428000,Intrinsic asthma without status asthmaticus (disorder),0,"    ('SNOMED CT', '12428000', 'Intrinsic asthma without status asthmaticus (disorder)', '0'),"
SNOMED CT,18041002,Printers\' asthma (disorder),0,"    ('SNOMED CT', '18041002', 'Printers\' asthma (disorder)', '0'),"
SNOMED CT,19849005,Meat-wrappers\' asthma (disorder),0,"    ('SNOMED CT', '19849005', 'Meat-wrappers\' asthma (disorder)', '0'),"
SNOMED CT,23315001,Sequoiosis (disorder),0,"    ('SNOMED CT', '23315001', 'Sequoiosis (disorder)', '0'),"
SNOMED CT,31387002,Exercise-induced asthma (disorder),0,"    ('SNOMED CT', '31387002', 'Exercise-induced asthma (disorder)', '0'),"
SNOMED CT,34015007,Bakers\' asthma (disorder),0,"    ('SNOMED CT', '34015007', 'Bakers\' asthma (disorder)', '0'),"
SNOMED CT,41553006,Detergent asthma (disorder),0,"    ('SNOMED CT', '41553006', 'Detergent asthma (disorder)', '0'),"
SNOMED CT,55570000,Asthma without status asthmaticus (disorder),0,"    ('SNOMED CT', '55570000', 'Asthma without status asthmaticus (disorder)', '0'),"
SNOMED CT,56968009,Asthma caused by wood dust (disorder),0,"    ('SNOMED CT', '56968009', 'Asthma caused by wood dust (disorder)', '0'),"
SNOMED CT,57607007,Occupational asthma (disorder),0,"    ('SNOMED CT', '57607007', 'Occupational asthma (disorder)', '0'),"
SNOMED CT,59786004,Weavers\' cough (disorder),0,"    ('SNOMED CT', '59786004', 'Weavers\' cough (disorder)', '0'),"
SNOMED CT,61233003,Silo-fillers\' disease (disorder),0,"    ('SNOMED CT', '61233003', 'Silo-fillers\' disease (disorder)', '0'),"
SNOMED CT,63088003,Allergic asthma without status asthmaticus (disorder),0,"    ('SNOMED CT', '63088003', 'Allergic asthma without status asthmaticus (disorder)', '0'),"
SNOMED CT,71892000,Cardiac asthma (disorder),0,"    ('SNOMED CT', '71892000', 'Cardiac asthma (disorder)', '0'),"
SNOMED CT,92807009,Chemical-induced asthma (disorder),0,"    ('SNOMED CT', '92807009', 'Chemical-induced asthma (disorder)', '0'),"
SNOMED CT,93432008,Drug-induced asthma (disorder),0,"    ('SNOMED CT', '93432008', 'Drug-induced asthma (disorder)', '0'),"
SNOMED CT,161527007,History of asthma (situation),0,"    ('SNOMED CT', '161527007', 'History of asthma (situation)', '0'),"
SNOMED CT,182724005,Further asthma - drug prevention (regime/therapy),0,"    ('SNOMED CT', '182724005', 'Further asthma - drug prevention (regime/therapy)', '0'),"
SNOMED CT,183478001,Emergency hospital admission for asthma (procedure),0,"    ('SNOMED CT', '183478001', 'Emergency hospital admission for asthma (procedure)', '0'),"
SNOMED CT,185242005,Seen in asthma clinic (finding),0,"    ('SNOMED CT', '185242005', 'Seen in asthma clinic (finding)', '0'),"
SNOMED CT,185728001,Attends asthma monitoring (finding),0,"    ('SNOMED CT', '185728001', 'Attends asthma monitoring (finding)', '0'),"
