type,code,description,exclude,concat
ICD-10,J40,Bronchitis not specified as acute or chronic,0,"    ('ICD-10', 'J40', 'Bronchitis not specified as acute or chronic', '0'),"
ICD-10,J41,Simple and mucopurulent chronic bronchitis,0,"    ('ICD-10', 'J41', 'Simple and mucopurulent chronic bronchitis', '0'),"
ICD-10,J410,Simple chronic bronchitis,0,"    ('ICD-10', 'J410', 'Simple chronic bronchitis', '0'),"
ICD-10,J411,Mucopurulent chronic bronchitis,0,"    ('ICD-10', 'J411', 'Mucopurulent chronic bronchitis', '0'),"
ICD-10,J418,Mixed simple and mucopurulent chronic bronchitis,0,"    ('ICD-10', 'J418', 'Mixed simple and mucopurulent chronic bronchitis', '0'),"
ICD-10,J42,Unspecified chronic bronchitis,0,"    ('ICD-10', 'J42', 'Unspecified chronic bronchitis', '0'),"
ICD-10,J43,Emphysema,0,"    ('ICD-10', 'J43', 'Emphysema', '0'),"
ICD-10,J430,MacLeod syndrome,0,"    ('ICD-10', 'J430', 'MacLeod syndrome', '0'),"
ICD-10,J431,Panlobular emphysema,0,"    ('ICD-10', 'J431', 'Panlobular emphysema', '0'),"
ICD-10,J432,Centrilobular emphysema,0,"    ('ICD-10', 'J432', 'Centrilobular emphysema', '0'),"
ICD-10,J438,Other emphysema,0,"    ('ICD-10', 'J438', 'Other emphysema', '0'),"
ICD-10,J439,"Emphysema, unspecified",0,"    ('ICD-10', 'J439', 'Emphysema, unspecified', '0'),"
ICD-10,J44,Other chronic obstructive pulmonary disease,0,"    ('ICD-10', 'J44', 'Other chronic obstructive pulmonary disease', '0'),"
ICD-10,J440,Chronic obstructive pulmonary disease with acute lower respiratory infection,0,"    ('ICD-10', 'J440', 'Chronic obstructive pulmonary disease with acute lower respiratory infection', '0'),"
ICD-10,J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",0,"    ('ICD-10', 'J441', 'Chronic obstructive pulmonary disease with acute exacerbation, unspecified', '0'),"
ICD-10,J448,Other specified chronic obstructive pulmonary disease,0,"    ('ICD-10', 'J448', 'Other specified chronic obstructive pulmonary disease', '0'),"
