type,code,description,exclude,concat
ICD-10,I10,Essential (primary) hypertension,0,"    ('ICD-10', 'I10', 'Essential (primary) hypertension', '0'),"
ICD-10,I11,Hypertensive heart disease,0,"    ('ICD-10', 'I11', 'Hypertensive heart disease', '0'),"
ICD-10,I110,Hypertensive heart disease with (congestive) heart failure,0,"    ('ICD-10', 'I110', 'Hypertensive heart disease with (congestive) heart failure', '0'),"
ICD-10,I119,Hypertensive heart disease without (congestive) heart failure,0,"    ('ICD-10', 'I119', 'Hypertensive heart disease without (congestive) heart failure', '0'),"
ICD-10,I12,Hypertensive renal disease,0,"    ('ICD-10', 'I12', 'Hypertensive renal disease', '0'),"
ICD-10,I120,Hypertensive renal disease with renal failure,0,"    ('ICD-10', 'I120', 'Hypertensive renal disease with renal failure', '0'),"
ICD-10,I129,Hypertensive renal disease without renal failure,0,"    ('ICD-10', 'I129', 'Hypertensive renal disease without renal failure', '0'),"
ICD-10,I13,Hypertensive heart and renal disease,0,"    ('ICD-10', 'I13', 'Hypertensive heart and renal disease', '0'),"
ICD-10,I130,Hypertensive heart and renal disease with (congestive) heart failure,0,"    ('ICD-10', 'I130', 'Hypertensive heart and renal disease with (congestive) heart failure', '0'),"
ICD-10,I131,Hypertensive heart and renal disease with renal failure,0,"    ('ICD-10', 'I131', 'Hypertensive heart and renal disease with renal failure', '0'),"
ICD-10,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,0,"    ('ICD-10', 'I132', 'Hypertensive heart and renal disease with both (congestive) heart failure and renal failure', '0'),"
ICD-10,I139,"Hypertensive heart and renal disease, unspecified",0,"    ('ICD-10', 'I139', 'Hypertensive heart and renal disease, unspecified', '0'),"
ICD-10,I15,Secondary hypertension,0,"    ('ICD-10', 'I15', 'Secondary hypertension', '0'),"
ICD-10,I150,Renovascular hypertension,0,"    ('ICD-10', 'I150', 'Renovascular hypertension', '0'),"
ICD-10,I151,Hypertension secondary to other renal disorders,0,"    ('ICD-10', 'I151', 'Hypertension secondary to other renal disorders', '0'),"
ICD-10,I152,Hypertension secondary to endocrine disorders,0,"    ('ICD-10', 'I152', 'Hypertension secondary to endocrine disorders', '0'),"
ICD-10,I158,Other secondary hypertension,0,"    ('ICD-10', 'I158', 'Other secondary hypertension', '0'),"
ICD-10,I159,"Secondary hypertension, unspecified",0,"    ('ICD-10', 'I159', 'Secondary hypertension, unspecified', '0'),"
SNOMED CT,193003,Benign hypertensive renal disease (disorder),0,"    ('SNOMED CT', '193003', 'Benign hypertensive renal disease (disorder)', '0'),"
SNOMED CT,1182007,Hypotensive agent (product),0,"    ('SNOMED CT', '1182007', 'Hypotensive agent (product)', '0'),"
SNOMED CT,1201005,Benign essential hypertension (disorder),0,"    ('SNOMED CT', '1201005', 'Benign essential hypertension (disorder)', '0'),"
SNOMED CT,1474004,Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth (disorder),0,"    ('SNOMED CT', '1474004', 'Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth (disorder)', '0'),"
SNOMED CT,2927004,Rescinnamine (substance),0,"    ('SNOMED CT', '2927004', 'Rescinnamine (substance)', '0'),"
SNOMED CT,2991007,Mecamylamine hydrochloride (substance),0,"    ('SNOMED CT', '2991007', 'Mecamylamine hydrochloride (substance)', '0'),"
SNOMED CT,3501003,Isoxsuprine hydrochloride (substance),0,"    ('SNOMED CT', '3501003', 'Isoxsuprine hydrochloride (substance)', '0'),"
SNOMED CT,3597005,Acebutolol hydrochloride (substance),0,"    ('SNOMED CT', '3597005', 'Acebutolol hydrochloride (substance)', '0'),"
SNOMED CT,4382004,Centrally acting hypotensive agent (product),0,"    ('SNOMED CT', '4382004', 'Centrally acting hypotensive agent (product)', '0'),"
SNOMED CT,5148006,Hypertensive heart disease with congestive heart failure (disorder),0,"    ('SNOMED CT', '5148006', 'Hypertensive heart disease with congestive heart failure (disorder)', '0'),"
SNOMED CT,5499009,Pulmonary hypertensive venous disease (disorder),0,"    ('SNOMED CT', '5499009', 'Pulmonary hypertensive venous disease (disorder)', '0'),"
SNOMED CT,6183001,Indian childhood cirrhosis (disorder),0,"    ('SNOMED CT', '6183001', 'Indian childhood cirrhosis (disorder)', '0'),"
SNOMED CT,6962006,Hypertensive retinopathy (disorder),0,"    ('SNOMED CT', '6962006', 'Hypertensive retinopathy (disorder)', '0'),"
SNOMED CT,8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder),0,"    ('SNOMED CT', '8218002', 'Chronic hypertension complicating AND/OR reason for care during childbirth (disorder)', '0'),"
SNOMED CT,8762007,Chronic hypertension in obstetric context (disorder),0,"    ('SNOMED CT', '8762007', 'Chronic hypertension in obstetric context (disorder)', '0'),"
SNOMED CT,9901000,Essential hypertension complicating AND/OR reason for care during puerperium (disorder),0,"    ('SNOMED CT', '9901000', 'Essential hypertension complicating AND/OR reason for care during puerperium (disorder)', '0'),"
SNOMED CT,10500003,Xanthinol (substance),0,"    ('SNOMED CT', '10500003', 'Xanthinol (substance)', '0'),"
SNOMED CT,10562009,Malignant hypertension complicating AND/OR reason for care during childbirth (disorder),0,"    ('SNOMED CT', '10562009', 'Malignant hypertension complicating AND/OR reason for care during childbirth (disorder)', '0'),"
SNOMED CT,10725009,Benign hypertension (disorder),0,"    ('SNOMED CT', '10725009', 'Benign hypertension (disorder)', '0'),"
SNOMED CT,10964002,Progressive pulmonary hypertension (disorder),0,"    ('SNOMED CT', '10964002', 'Progressive pulmonary hypertension (disorder)', '0'),"
SNOMED CT,11399002,Pulmonary hypertensive arterial disease (disorder),0,"    ('SNOMED CT', '11399002', 'Pulmonary hypertensive arterial disease (disorder)', '0'),"
SNOMED CT,12208001,Syrosingopine (substance),0,"    ('SNOMED CT', '12208001', 'Syrosingopine (substance)', '0'),"
SNOMED CT,12970004,Inositol hexanitrate (substance),0,"    ('SNOMED CT', '12970004', 'Inositol hexanitrate (substance)', '0'),"
SNOMED CT,14013006,Guanadrel sulfate (substance),0,"    ('SNOMED CT', '14013006', 'Guanadrel sulfate (substance)', '0'),"
SNOMED CT,14973001,Renal sclerosis with hypertension (disorder),0,"    ('SNOMED CT', '14973001', 'Renal sclerosis with hypertension (disorder)', '0'),"
SNOMED CT,15098005,Alseroxylon (substance),0,"    ('SNOMED CT', '15098005', 'Alseroxylon (substance)', '0'),"
SNOMED CT,15322006,Benzoquinonium (substance),0,"    ('SNOMED CT', '15322006', 'Benzoquinonium (substance)', '0'),"
SNOMED CT,15698006,Lysergic acid diethylamide (substance),0,"    ('SNOMED CT', '15698006', 'Lysergic acid diethylamide (substance)', '0'),"
SNOMED CT,16756008,Albuminuria in pregnancy without hypertension (disorder),0,"    ('SNOMED CT', '16756008', 'Albuminuria in pregnancy without hypertension (disorder)', '0'),"
SNOMED CT,18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder),0,"    ('SNOMED CT', '18416000', 'Essential hypertension complicating AND/OR reason for care during childbirth (disorder)', '0'),"
SNOMED CT,19041007,Tolazoline hydrochloride (substance),0,"    ('SNOMED CT', '19041007', 'Tolazoline hydrochloride (substance)', '0'),"
SNOMED CT,19769006,High-renin essential hypertension (disorder),0,"    ('SNOMED CT', '19769006', 'High-renin essential hypertension (disorder)', '0'),"
SNOMED CT,19918001,Dihydroergocornine (substance),0,"    ('SNOMED CT', '19918001', 'Dihydroergocornine (substance)', '0'),"
SNOMED CT,20217007,Trimetaphan camsilate (substance),0,"    ('SNOMED CT', '20217007', 'Trimetaphan camsilate (substance)', '0'),"
SNOMED CT,20340009,Methysergide maleate (substance),0,"    ('SNOMED CT', '20340009', 'Methysergide maleate (substance)', '0'),"
SNOMED CT,20753005,Hypertensive heart disease complicating AND/OR reason for care during pregnancy (disorder),0,"    ('SNOMED CT', '20753005', 'Hypertensive heart disease complicating AND/OR reason for care during pregnancy (disorder)', '0'),"
SNOMED CT,21235009,Piperoxan (substance),0,"    ('SNOMED CT', '21235009', 'Piperoxan (substance)', '0'),"
SNOMED CT,22966008,Hypertensive heart AND renal disease complicating AND/OR reason for care during pregnancy (disorder),0,"    ('SNOMED CT', '22966008', 'Hypertensive heart AND renal disease complicating AND/OR reason for care during pregnancy (disorder)', '0'),"
SNOMED CT,23130000,Paroxysmal hypertension (disorder),0,"    ('SNOMED CT', '23130000', 'Paroxysmal hypertension (disorder)', '0'),"
SNOMED CT,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder),0,"    ('SNOMED CT', '23717007', 'Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder)', '0'),"
SNOMED CT,23786008,Malignant hypertension complicating AND/OR reason for care during puerperium (disorder),0,"    ('SNOMED CT', '23786008', 'Malignant hypertension complicating AND/OR reason for care during puerperium (disorder)', '0'),"
SNOMED CT,23814005,Guanethidine monosulfate (substance),0,"    ('SNOMED CT', '23814005', 'Guanethidine monosulfate (substance)', '0'),"
