type,code,description,exclude,concat
ICD-10,I20,Angina pectoris,0,"    ('ICD-10', 'I20', 'Angina pectoris', '0'),"
ICD-10,I200,Unstable angina,0,"    ('ICD-10', 'I200', 'Unstable angina', '0'),"
ICD-10,I201,Angina pectoris with documented spasm,0,"    ('ICD-10', 'I201', 'Angina pectoris with documented spasm', '0'),"
ICD-10,I208,Other forms of angina pectoris,0,"    ('ICD-10', 'I208', 'Other forms of angina pectoris', '0'),"
ICD-10,I209,"Angina pectoris, unspecified",0,"    ('ICD-10', 'I209', 'Angina pectoris, unspecified', '0'),"
ICD-10,I21,Acute myocardial infarction,0,"    ('ICD-10', 'I21', 'Acute myocardial infarction', '0'),"
ICD-10,I210,Acute transmural myocardial infarction of anterior wall,0,"    ('ICD-10', 'I210', 'Acute transmural myocardial infarction of anterior wall', '0'),"
ICD-10,I211,Acute transmural myocardial infarction of inferior wall,0,"    ('ICD-10', 'I211', 'Acute transmural myocardial infarction of inferior wall', '0'),"
ICD-10,I212,Acute transmural myocardial infarction of other sites,0,"    ('ICD-10', 'I212', 'Acute transmural myocardial infarction of other sites', '0'),"
ICD-10,I213,Acute transmural myocardial infarction of unspecified site,0,"    ('ICD-10', 'I213', 'Acute transmural myocardial infarction of unspecified site', '0'),"
ICD-10,I214,Acute subendocardial myocardial infarction,0,"    ('ICD-10', 'I214', 'Acute subendocardial myocardial infarction', '0'),"
ICD-10,I219,"Acute myocardial infarction, unspecified",0,"    ('ICD-10', 'I219', 'Acute myocardial infarction, unspecified', '0'),"
ICD-10,I22,Subsequent myocardial infarction,0,"    ('ICD-10', 'I22', 'Subsequent myocardial infarction', '0'),"
ICD-10,I220,Subsequent myocardial infarction of anterior wall,0,"    ('ICD-10', 'I220', 'Subsequent myocardial infarction of anterior wall', '0'),"
ICD-10,I221,Subsequent myocardial infarction of inferior wall,0,"    ('ICD-10', 'I221', 'Subsequent myocardial infarction of inferior wall', '0'),"
ICD-10,I228,Subsequent myocardial infarction of other sites,0,"    ('ICD-10', 'I228', 'Subsequent myocardial infarction of other sites', '0'),"
ICD-10,I229,Subsequent myocardial infarction of unspecified site,0,"    ('ICD-10', 'I229', 'Subsequent myocardial infarction of unspecified site', '0'),"
ICD-10,I23,Certain current complications following acute myocardial infarction,0,"    ('ICD-10', 'I23', 'Certain current complications following acute myocardial infarction', '0'),"
ICD-10,I23.2,Ventricular septal defect as current complication following acute myocardial infarction,0,"    ('ICD-10', 'I23.2', 'Ventricular septal defect as current complication following acute myocardial infarction', '0'),"
ICD-10,I230,Haemopericardium as current complication following acute myocardial infarction,0,"    ('ICD-10', 'I230', 'Haemopericardium as current complication following acute myocardial infarction', '0'),"
ICD-10,I231,Atrial septal defect as current complication following acute myocardial infarction,0,"    ('ICD-10', 'I231', 'Atrial septal defect as current complication following acute myocardial infarction', '0'),"
ICD-10,I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ,0,"    ('ICD-10', 'I233', 'Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ', '0'),"
ICD-10,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,0,"    ('ICD-10', 'I234', 'Rupture of chordae tendineae as current complication following acute myocardial infarction', '0'),"
ICD-10,I235,Rupture of papillary muscle as current complication following acute myocardial infarction,0,"    ('ICD-10', 'I235', 'Rupture of papillary muscle as current complication following acute myocardial infarction', '0'),"
ICD-10,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my",0,"    ('ICD-10', 'I236', 'Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my', '0'),"
ICD-10,I238,Other current complications following acute myocardial infarction,0,"    ('ICD-10', 'I238', 'Other current complications following acute myocardial infarction', '0'),"
ICD-10,I24,Other acute ischaemic heart diseases,0,"    ('ICD-10', 'I24', 'Other acute ischaemic heart diseases', '0'),"
ICD-10,I240,Coronary thrombosis not resulting in myocardial infarction,0,"    ('ICD-10', 'I240', 'Coronary thrombosis not resulting in myocardial infarction', '0'),"
ICD-10,I248,Other forms of acute ischaemic heart disease,0,"    ('ICD-10', 'I248', 'Other forms of acute ischaemic heart disease', '0'),"
ICD-10,I249,"Acute ischaemic heart disease, unspecified",0,"    ('ICD-10', 'I249', 'Acute ischaemic heart disease, unspecified', '0'),"
ICD-10,I25,Chronic ischaemic heart disease,0,"    ('ICD-10', 'I25', 'Chronic ischaemic heart disease', '0'),"
ICD-10,I250,"Atherosclerotic cardiovascular disease, so described",0,"    ('ICD-10', 'I250', 'Atherosclerotic cardiovascular disease, so described', '0'),"
ICD-10,I251,Atherosclerotic heart disease,0,"    ('ICD-10', 'I251', 'Atherosclerotic heart disease', '0'),"
ICD-10,I252,Old myocardial infarction,0,"    ('ICD-10', 'I252', 'Old myocardial infarction', '0'),"
ICD-10,I255,Ischaemic cardiomyopathy,0,"    ('ICD-10', 'I255', 'Ischaemic cardiomyopathy', '0'),"
ICD-10,I256,Silent myocardial ischaemia,0,"    ('ICD-10', 'I256', 'Silent myocardial ischaemia', '0'),"
ICD-10,I258,Other forms of chronic ischaemic heart disease,0,"    ('ICD-10', 'I258', 'Other forms of chronic ischaemic heart disease', '0'),"
ICD-10,I259,"Chronic ischaemic heart disease, unspecified",0,"    ('ICD-10', 'I259', 'Chronic ischaemic heart disease, unspecified', '0'),"
ICD-10,T822,Mechanical complication of coronary artery bypass and valve grafts,0,"    ('ICD-10', 'T822', 'Mechanical complication of coronary artery bypass and valve grafts', '0'),"
ICD-10,Z955,Presence of coronary angioplasty implant and graft,0,"    ('ICD-10', 'Z955', 'Presence of coronary angioplasty implant and graft', '0'),"
ICD-10,I241,Dressler's syndrome,1,"    ('ICD-10', 'I241', 'Dressler's syndrome', '1'),"
SNOMED CT,282006,Acute myocardial infarction of basal-lateral wall (disorder),0,"    ('SNOMED CT', '282006', 'Acute myocardial infarction of basal-lateral wall (disorder)', '0'),"
SNOMED CT,10273003,Acute infarction of papillary muscle (disorder),0,"    ('SNOMED CT', '10273003', 'Acute infarction of papillary muscle (disorder)', '0'),"
SNOMED CT,15990001,Acute myocardial infarction of posterolateral wall (disorder),0,"    ('SNOMED CT', '15990001', 'Acute myocardial infarction of posterolateral wall (disorder)', '0'),"
SNOMED CT,25106000,Impending infarction (disorder),0,"    ('SNOMED CT', '25106000', 'Impending infarction (disorder)', '0'),"
