type,code,description,exclude,concat
ICD-10,I70,Atherosclerosis,0,"    ('ICD-10', 'I70', 'Atherosclerosis', '0'),"
ICD-10,I700,Atherosclerosis of aorta,0,"    ('ICD-10', 'I700', 'Atherosclerosis of aorta', '0'),"
ICD-10,I701,Atherosclerosis of renal artery,0,"    ('ICD-10', 'I701', 'Atherosclerosis of renal artery', '0'),"
ICD-10,I702,Atherosclerosis of arteries of extremities,0,"    ('ICD-10', 'I702', 'Atherosclerosis of arteries of extremities', '0'),"
ICD-10,I708,Atherosclerosis of other arteries,0,"    ('ICD-10', 'I708', 'Atherosclerosis of other arteries', '0'),"
ICD-10,I709,Generalized and unspecified atherosclerosis,0,"    ('ICD-10', 'I709', 'Generalized and unspecified atherosclerosis', '0'),"
ICD-10,I73,Other peripheral vascular diseases,0,"    ('ICD-10', 'I73', 'Other peripheral vascular diseases', '0'),"
ICD-10,I738,Other specified peripheral vascular diseases,0,"    ('ICD-10', 'I738', 'Other specified peripheral vascular diseases', '0'),"
SNOMED CT,63491006,Intermittent claudication,0,"    ('SNOMED CT', '63491006', 'Intermittent claudication', '0'),"
SNOMED CT,127014009,Diabetic peripheral angiopathy,0,"    ('SNOMED CT', '127014009', 'Diabetic peripheral angiopathy', '0'),"
SNOMED CT,201250006,Ischaemic ulcer diabetic foot,0,"    ('SNOMED CT', '201250006', 'Ischaemic ulcer diabetic foot', '0'),"
SNOMED CT,233958001,Peripheral ischaemia,0,"    ('SNOMED CT', '233958001', 'Peripheral ischaemia', '0'),"
SNOMED CT,233961000,Lower limb ischemia,0,"    ('SNOMED CT', '233961000', 'Lower limb ischemia', '0'),"
SNOMED CT,275520000,Claudication,0,"    ('SNOMED CT', '275520000', 'Claudication', '0'),"
SNOMED CT,301755001,Ischemic foot,0,"    ('SNOMED CT', '301755001', 'Ischemic foot', '0'),"
SNOMED CT,307408003,Ischaemic toe,0,"    ('SNOMED CT', '307408003', 'Ischaemic toe', '0'),"
SNOMED CT,314902007,Type II diabetes mellitus with peripheral angiopathy,0,"    ('SNOMED CT', '314902007', 'Type II diabetes mellitus with peripheral angiopathy', '0'),"
SNOMED CT,399957001,Peripheral arterial occlusive disease (disorder),0,"    ('SNOMED CT', '399957001', 'Peripheral arterial occlusive disease (disorder)', '0'),"
SNOMED CT,400047006,Peripheral vascular disease (disorder),0,"    ('SNOMED CT', '400047006', 'Peripheral vascular disease (disorder)', '0'),"
SNOMED CT,421365002,Peripheral circulatory disorder associated with type I diabetes mellitus (disorder),0,"    ('SNOMED CT', '421365002', 'Peripheral circulatory disorder associated with type I diabetes mellitus (disorder)', '0'),"
SNOMED CT,421895002,Peripheral circulatory disorder associated with diabetes mellitus (disorder),0,"    ('SNOMED CT', '421895002', 'Peripheral circulatory disorder associated with diabetes mellitus (disorder)', '0'),"
SNOMED CT,422166005,Peripheral circulatory disorder associated with type II diabetes mellitus (disorder),0,"    ('SNOMED CT', '422166005', 'Peripheral circulatory disorder associated with type II diabetes mellitus (disorder)', '0'),"
SNOMED CT,422275004,Gangrene associated with diabetes mellitus (disorder),0,"    ('SNOMED CT', '422275004', 'Gangrene associated with diabetes mellitus (disorder)', '0'),"
SNOMED CT,3.1211E+13,Peripheral vascular disease due to type I diabetes,0,"    ('SNOMED CT', '31211000119101', 'Peripheral vascular disease due to type I diabetes', '0'),"
SNOMED CT,8.36711E+14,Ischaemic lower limb pain at rest (finding),0,"    ('SNOMED CT', '836711000000108', 'Ischaemic lower limb pain at rest (finding)', '0'),"
