type,code,description,exclude,concat
ICD-10,G45,Transient cerebral ischaemic attacks and related syndromes,0,"    ('ICD-10', 'G45', 'Transient cerebral ischaemic attacks and related syndromes', '0'),"
ICD-10,G450,Vertebro-basilar artery syndrome,0,"    ('ICD-10', 'G450', 'Vertebro-basilar artery syndrome', '0'),"
ICD-10,G451,Carotid artery syndrome (hemispheric),0,"    ('ICD-10', 'G451', 'Carotid artery syndrome (hemispheric)', '0'),"
ICD-10,G452,Multiple and bilateral precerebral artery syndromes,0,"    ('ICD-10', 'G452', 'Multiple and bilateral precerebral artery syndromes', '0'),"
ICD-10,G453,Amaurosis fugax,0,"    ('ICD-10', 'G453', 'Amaurosis fugax', '0'),"
ICD-10,G454,Transient global amnesia,0,"    ('ICD-10', 'G454', 'Transient global amnesia', '0'),"
ICD-10,G458,Other transient cerebral ischaemic attacks and related syndromes,0,"    ('ICD-10', 'G458', 'Other transient cerebral ischaemic attacks and related syndromes', '0'),"
ICD-10,G459,"Transient cerebral ischaemic attack, unspecified",0,"    ('ICD-10', 'G459', 'Transient cerebral ischaemic attack, unspecified', '0'),"
ICD-10,G460,Middle cerebral artery syndrome,0,"    ('ICD-10', 'G460', 'Middle cerebral artery syndrome', '0'),"
ICD-10,G461,Anterior cerebral artery syndrome,0,"    ('ICD-10', 'G461', 'Anterior cerebral artery syndrome', '0'),"
ICD-10,G462,Posterior cerebral artery syndrome,0,"    ('ICD-10', 'G462', 'Posterior cerebral artery syndrome', '0'),"
ICD-10,I60,Subarachnoid haemorrhage,0,"    ('ICD-10', 'I60', 'Subarachnoid haemorrhage', '0'),"
ICD-10,I600,Subarachnoid haemorrhage from carotid siphon and bifurcation,0,"    ('ICD-10', 'I600', 'Subarachnoid haemorrhage from carotid siphon and bifurcation', '0'),"
ICD-10,I601,Subarachnoid haemorrhage from middle cerebral artery,0,"    ('ICD-10', 'I601', 'Subarachnoid haemorrhage from middle cerebral artery', '0'),"
ICD-10,I602,Subarachnoid haemorrhage from anterior communicating artery,0,"    ('ICD-10', 'I602', 'Subarachnoid haemorrhage from anterior communicating artery', '0'),"
ICD-10,I603,Subarachnoid haemorrhage from posterior communicating artery,0,"    ('ICD-10', 'I603', 'Subarachnoid haemorrhage from posterior communicating artery', '0'),"
ICD-10,I604,Subarachnoid haemorrhage from basilar artery,0,"    ('ICD-10', 'I604', 'Subarachnoid haemorrhage from basilar artery', '0'),"
ICD-10,I605,Subarachnoid haemorrhage from vertebral artery,0,"    ('ICD-10', 'I605', 'Subarachnoid haemorrhage from vertebral artery', '0'),"
ICD-10,I606,Subarachnoid haemorrhage from other intracranial arteries,0,"    ('ICD-10', 'I606', 'Subarachnoid haemorrhage from other intracranial arteries', '0'),"
ICD-10,I607,"Subarachnoid haemorrhage from intracranial artery, unspecified",0,"    ('ICD-10', 'I607', 'Subarachnoid haemorrhage from intracranial artery, unspecified', '0'),"
ICD-10,I608,Other subarachnoid haemorrhage,0,"    ('ICD-10', 'I608', 'Other subarachnoid haemorrhage', '0'),"
ICD-10,I609,"Subarachnoid haemorrhage, unspecified",0,"    ('ICD-10', 'I609', 'Subarachnoid haemorrhage, unspecified', '0'),"
ICD-10,I61,Intracerebral haemorrhage,0,"    ('ICD-10', 'I61', 'Intracerebral haemorrhage', '0'),"
ICD-10,I610,"Intracerebral haemorrhage in hemisphere, subcortical",0,"    ('ICD-10', 'I610', 'Intracerebral haemorrhage in hemisphere, subcortical', '0'),"
ICD-10,I611,"Intracerebral haemorrhage in hemisphere, cortical",0,"    ('ICD-10', 'I611', 'Intracerebral haemorrhage in hemisphere, cortical', '0'),"
ICD-10,I612,"Intracerebral haemorrhage in hemisphere, unspecified",0,"    ('ICD-10', 'I612', 'Intracerebral haemorrhage in hemisphere, unspecified', '0'),"
ICD-10,I613,Intracerebral haemorrhage in brain stem,0,"    ('ICD-10', 'I613', 'Intracerebral haemorrhage in brain stem', '0'),"
ICD-10,I614,Intracerebral haemorrhage in cerebellum,0,"    ('ICD-10', 'I614', 'Intracerebral haemorrhage in cerebellum', '0'),"
ICD-10,I615,"Intracerebral haemorrhage, intraventricular",0,"    ('ICD-10', 'I615', 'Intracerebral haemorrhage, intraventricular', '0'),"
ICD-10,I616,"Intracerebral haemorrhage, multiple localized",0,"    ('ICD-10', 'I616', 'Intracerebral haemorrhage, multiple localized', '0'),"
ICD-10,I618,Other intracerebral haemorrhage,0,"    ('ICD-10', 'I618', 'Other intracerebral haemorrhage', '0'),"
