type,code,description,exclude,concat
ICD-10,D50,Iron deficiency anaemia,0,"    ('ICD-10', 'D50', 'Iron deficiency anaemia', '0'),"
ICD-10,D500,Iron deficiency anaemia secondary to blood loss (chronic),0,"    ('ICD-10', 'D500', 'Iron deficiency anaemia secondary to blood loss (chronic)', '0'),"
ICD-10,D501,Sideropenic dysphagia,0,"    ('ICD-10', 'D501', 'Sideropenic dysphagia', '0'),"
ICD-10,D508,Other iron deficiency anaemias,0,"    ('ICD-10', 'D508', 'Other iron deficiency anaemias', '0'),"
ICD-10,D509,"Iron deficiency anaemia, unspecified",0,"    ('ICD-10', 'D509', 'Iron deficiency anaemia, unspecified', '0'),"
ICD-10,D51,Vitamin B12 deficiency anaemia,0,"    ('ICD-10', 'D51', 'Vitamin B12 deficiency anaemia', '0'),"
ICD-10,D510,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,0,"    ('ICD-10', 'D510', 'Vitamin B12 deficiency anaemia due to intrinsic factor deficiency', '0'),"
ICD-10,D511,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,0,"    ('ICD-10', 'D511', 'Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria', '0'),"
ICD-10,D512,Transcobalamin II deficiency,0,"    ('ICD-10', 'D512', 'Transcobalamin II deficiency', '0'),"
ICD-10,D513,Other dietary vitamin B12 deficiency anaemia,0,"    ('ICD-10', 'D513', 'Other dietary vitamin B12 deficiency anaemia', '0'),"
ICD-10,D518,Other vitamin B12 deficiency anaemias,0,"    ('ICD-10', 'D518', 'Other vitamin B12 deficiency anaemias', '0'),"
ICD-10,D519,"Vitamin B12 deficiency anaemia, unspecified",0,"    ('ICD-10', 'D519', 'Vitamin B12 deficiency anaemia, unspecified', '0'),"
ICD-10,D52,Folate deficiency anaemia,0,"    ('ICD-10', 'D52', 'Folate deficiency anaemia', '0'),"
ICD-10,D520,Dietary folate deficiency anaemia,0,"    ('ICD-10', 'D520', 'Dietary folate deficiency anaemia', '0'),"
ICD-10,D521,Drug-induced folate deficiency anaemia,0,"    ('ICD-10', 'D521', 'Drug-induced folate deficiency anaemia', '0'),"
ICD-10,D528,Other folate deficiency anaemias,0,"    ('ICD-10', 'D528', 'Other folate deficiency anaemias', '0'),"
ICD-10,D529,"Folate deficiency anaemia, unspecified",0,"    ('ICD-10', 'D529', 'Folate deficiency anaemia, unspecified', '0'),"
ICD-10,D53,Other nutritional anaemias,0,"    ('ICD-10', 'D53', 'Other nutritional anaemias', '0'),"
ICD-10,D530,Protein deficiency anaemia,0,"    ('ICD-10', 'D530', 'Protein deficiency anaemia', '0'),"
ICD-10,D531,"Other megaloblastic anaemias, not elsewhere classified",0,"    ('ICD-10', 'D531', 'Other megaloblastic anaemias, not elsewhere classified', '0'),"
ICD-10,D532,Scorbutic anaemia,0,"    ('ICD-10', 'D532', 'Scorbutic anaemia', '0'),"
ICD-10,D538,Other specified nutritional anaemias,0,"    ('ICD-10', 'D538', 'Other specified nutritional anaemias', '0'),"
ICD-10,D539,"Nutritional anaemia, unspecified",0,"    ('ICD-10', 'D539', 'Nutritional anaemia, unspecified', '0'),"
ICD-10,D55,Anaemia due to enzyme disorders,0,"    ('ICD-10', 'D55', 'Anaemia due to enzyme disorders', '0'),"
ICD-10,D550,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,0,"    ('ICD-10', 'D550', 'Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency', '0'),"
ICD-10,D551,Anaemia due to other disorders of glutathione metabolism,0,"    ('ICD-10', 'D551', 'Anaemia due to other disorders of glutathione metabolism', '0'),"
ICD-10,D552,Anaemia due to disorders of glycolytic enzymes,0,"    ('ICD-10', 'D552', 'Anaemia due to disorders of glycolytic enzymes', '0'),"
ICD-10,D553,Anaemia due to disorders of nucleotide metabolism,0,"    ('ICD-10', 'D553', 'Anaemia due to disorders of nucleotide metabolism', '0'),"
ICD-10,D558,Other anaemias due to enzyme disorders,0,"    ('ICD-10', 'D558', 'Other anaemias due to enzyme disorders', '0'),"
ICD-10,D559,"Anaemia due to enzyme disorder, unspecified",0,"    ('ICD-10', 'D559', 'Anaemia due to enzyme disorder, unspecified', '0'),"
ICD-10,D56,Thalassaemia,0,"    ('ICD-10', 'D56', 'Thalassaemia', '0'),"
ICD-10,D560,Alpha thalassaemia,0,"    ('ICD-10', 'D560', 'Alpha thalassaemia', '0'),"
ICD-10,D561,Beta thalassaemia,0,"    ('ICD-10', 'D561', 'Beta thalassaemia', '0'),"
ICD-10,D562,Delta-beta thalassaemia,0,"    ('ICD-10', 'D562', 'Delta-beta thalassaemia', '0'),"
ICD-10,D564,Hereditary persistence of fetal haemoglobin [HPFH],0,"    ('ICD-10', 'D564', 'Hereditary persistence of fetal haemoglobin [HPFH]', '0'),"
ICD-10,D568,Other thalassaemias,0,"    ('ICD-10', 'D568', 'Other thalassaemias', '0'),"
ICD-10,D569,"Thalassaemia, unspecified",0,"    ('ICD-10', 'D569', 'Thalassaemia, unspecified', '0'),"
ICD-10,D57,Sickle-cell disorders,0,"    ('ICD-10', 'D57', 'Sickle-cell disorders', '0'),"
ICD-10,D570,Sickle-cell anaemia with crisis,0,"    ('ICD-10', 'D570', 'Sickle-cell anaemia with crisis', '0'),"
ICD-10,D571,Sickle-cell anaemia without crisis,0,"    ('ICD-10', 'D571', 'Sickle-cell anaemia without crisis', '0'),"
ICD-10,D572,Double heterozygous sickling disorders,0,"    ('ICD-10', 'D572', 'Double heterozygous sickling disorders', '0'),"
ICD-10,D573,Sickle-cell trait,0,"    ('ICD-10', 'D573', 'Sickle-cell trait', '0'),"
ICD-10,D578,Other sickle-cell disorders,0,"    ('ICD-10', 'D578', 'Other sickle-cell disorders', '0'),"
ICD-10,D58,Other hereditary haemolytic anaemias,0,"    ('ICD-10', 'D58', 'Other hereditary haemolytic anaemias', '0'),"
ICD-10,D580,Hereditary spherocytosis,0,"    ('ICD-10', 'D580', 'Hereditary spherocytosis', '0'),"
ICD-10,D581,Hereditary elliptocytosis,0,"    ('ICD-10', 'D581', 'Hereditary elliptocytosis', '0'),"
ICD-10,D582,Other haemoglobinopathies,0,"    ('ICD-10', 'D582', 'Other haemoglobinopathies', '0'),"
ICD-10,D588,Other specified hereditary haemolytic anaemias,0,"    ('ICD-10', 'D588', 'Other specified hereditary haemolytic anaemias', '0'),"
ICD-10,D589,"Hereditary haemolytic anaemia, unspecified",0,"    ('ICD-10', 'D589', 'Hereditary haemolytic anaemia, unspecified', '0'),"
ICD-10,D59,Acquired haemolytic anaemia,0,"    ('ICD-10', 'D59', 'Acquired haemolytic anaemia', '0'),"
ICD-10,D590,Drug-induced autoimmune haemolytic anaemia,0,"    ('ICD-10', 'D590', 'Drug-induced autoimmune haemolytic anaemia', '0'),"
ICD-10,D591,Other autoimmune haemolytic anaemias,0,"    ('ICD-10', 'D591', 'Other autoimmune haemolytic anaemias', '0'),"
