type,code,description,exclude,concat
ICD-10,K701,Alcoholic hepatitis,0,"    ('ICD-10', 'K701', 'Alcoholic hepatitis', '0'),"
ICD-10,K702,Alcoholic fibrosis and sclerosis of liver,0,"    ('ICD-10', 'K702', 'Alcoholic fibrosis and sclerosis of liver', '0'),"
ICD-10,K703,Alcoholic cirrhosis of liver,0,"    ('ICD-10', 'K703', 'Alcoholic cirrhosis of liver', '0'),"
ICD-10,K717,Toxic liver disease with fibrosis and cirrhosis of liver,0,"    ('ICD-10', 'K717', 'Toxic liver disease with fibrosis and cirrhosis of liver', '0'),"
ICD-10,K740,Hepatic fibrosis,0,"    ('ICD-10', 'K740', 'Hepatic fibrosis', '0'),"
ICD-10,K741,Hepatic sclerosis,0,"    ('ICD-10', 'K741', 'Hepatic sclerosis', '0'),"
ICD-10,K742,Hepatic fibrosis with hepatic sclerosis,0,"    ('ICD-10', 'K742', 'Hepatic fibrosis with hepatic sclerosis', '0'),"
ICD-10,K744,Secondary biliary cirrhosis,0,"    ('ICD-10', 'K744', 'Secondary biliary cirrhosis', '0'),"
ICD-10,K745,"Biliary cirrhosis, unspecified",0,"    ('ICD-10', 'K745', 'Biliary cirrhosis, unspecified', '0'),"
ICD-10,K746,Other and unspecified cirrhosis of liver,0,"    ('ICD-10', 'K746', 'Other and unspecified cirrhosis of liver', '0'),"
SNOMED CT,1287007,Congenital absence of bile duct,0,"    ('SNOMED CT', '1287007', 'Congenital absence of bile duct', '0'),"
SNOMED CT,1761006,Biliary cirrhosis,0,"    ('SNOMED CT', '1761006', 'Biliary cirrhosis', '0'),"
SNOMED CT,3738000,[X]Other chronic viral hepatitis,0,"    ('SNOMED CT', '3738000', '[X]Other chronic viral hepatitis', '0'),"
SNOMED CT,6183001,Cirrhosis: [juv portal] or [childh funct] or [Indian childh],0,"    ('SNOMED CT', '6183001', 'Cirrhosis: [juv portal] or [childh funct] or [Indian childh]', '0'),"
SNOMED CT,9953008,Acute alcoholic hepatitis,0,"    ('SNOMED CT', '9953008', 'Acute alcoholic hepatitis', '0'),"
SNOMED CT,10295004,[X]Other chronic viral hepatitis,0,"    ('SNOMED CT', '10295004', '[X]Other chronic viral hepatitis', '0'),"
SNOMED CT,12368000,Secondary biliary cirrhosis,0,"    ('SNOMED CT', '12368000', 'Secondary biliary cirrhosis', '0'),"
SNOMED CT,14223005,Oesophageal varices without bleeding,0,"    ('SNOMED CT', '14223005', 'Oesophageal varices without bleeding', '0'),"
SNOMED CT,15999000,Mixed portal cirrhosis,0,"    ('SNOMED CT', '15999000', 'Mixed portal cirrhosis', '0'),"
SNOMED CT,17709002,Bleeding oesophageal varices,0,"    ('SNOMED CT', '17709002', 'Bleeding oesophageal varices', '0'),"
SNOMED CT,18027006,Liver transplant,0,"    ('SNOMED CT', '18027006', 'Liver transplant', '0'),"
SNOMED CT,19943007,[X]Other and unspecified cirrhosis of liver,0,"    ('SNOMED CT', '19943007', '[X]Other and unspecified cirrhosis of liver', '0'),"
