type,code,description,exclude,concat
ICD-10,B376,Candidal endocarditis,0,"    ('ICD-10', 'B376', 'Candidal endocarditis', '0'),"
ICD-10,I05,Rheumatic mitral valve diseases,0,"    ('ICD-10', 'I05', 'Rheumatic mitral valve diseases', '0'),"
ICD-10,I050,Mitral stenosis,0,"    ('ICD-10', 'I050', 'Mitral stenosis', '0'),"
ICD-10,I051,Rheumatic mitral insufficiency,0,"    ('ICD-10', 'I051', 'Rheumatic mitral insufficiency', '0'),"
ICD-10,I052,Mitral stenosis with insufficiency,0,"    ('ICD-10', 'I052', 'Mitral stenosis with insufficiency', '0'),"
ICD-10,I058,Other mitral valve diseases,0,"    ('ICD-10', 'I058', 'Other mitral valve diseases', '0'),"
ICD-10,I059,Mitral valve disease unspecified,0,"    ('ICD-10', 'I059', 'Mitral valve disease unspecified', '0'),"
ICD-10,I06,Rheumatic aortic valve diseases,0,"    ('ICD-10', 'I06', 'Rheumatic aortic valve diseases', '0'),"
ICD-10,I060,Rheumatic aortic stenosis,0,"    ('ICD-10', 'I060', 'Rheumatic aortic stenosis', '0'),"
ICD-10,I061,Rheumatic aortic insufficiency,0,"    ('ICD-10', 'I061', 'Rheumatic aortic insufficiency', '0'),"
ICD-10,I062,Rheumatic aortic stenosis with insufficiency,0,"    ('ICD-10', 'I062', 'Rheumatic aortic stenosis with insufficiency', '0'),"
ICD-10,I068,Other rheumatic aortic valve diseases,0,"    ('ICD-10', 'I068', 'Other rheumatic aortic valve diseases', '0'),"
ICD-10,I069,Rheumatic aortic valve disease unspecified,0,"    ('ICD-10', 'I069', 'Rheumatic aortic valve disease unspecified', '0'),"
ICD-10,I07,Rheumatic tricuspid valve diseases,0,"    ('ICD-10', 'I07', 'Rheumatic tricuspid valve diseases', '0'),"
ICD-10,I070,Tricuspid stenosis,0,"    ('ICD-10', 'I070', 'Tricuspid stenosis', '0'),"
ICD-10,I071,Tricuspid insufficiency,0,"    ('ICD-10', 'I071', 'Tricuspid insufficiency', '0'),"
ICD-10,I072,Tricuspid stenosis with insufficiency,0,"    ('ICD-10', 'I072', 'Tricuspid stenosis with insufficiency', '0'),"
ICD-10,I078,Other tricuspid valve diseases,0,"    ('ICD-10', 'I078', 'Other tricuspid valve diseases', '0'),"
ICD-10,I079,Tricuspid valve disease unspecified,0,"    ('ICD-10', 'I079', 'Tricuspid valve disease unspecified', '0'),"
ICD-10,I08,Multiple valve diseases,0,"    ('ICD-10', 'I08', 'Multiple valve diseases', '0'),"
ICD-10,I080,Disorders of both mitral and aortic valves,0,"    ('ICD-10', 'I080', 'Disorders of both mitral and aortic valves', '0'),"
